TABLE 6.13,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
REAL EXCHANGE RATES INDICES: FOREIGN CURRENCY PER PULA1,,,,,,,,,,,,,,
(December 2018 = 100),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,US,,Pound,Japanese,Chinese,SA,,,,,,,
End of ,,dollar,Euro,sterling,yen,yuan2,rand,SDR,REER3,,,,,
2015,,92.2,94.4,79.4,96.2,…,109.2,91.5,100.1,,,,,
2016,,98.1,105.3,102.5,101.0,99.1,97.5,101.0,99.4,,,,,
2017,,107.1,102.0,101.1,107.6,101.4,94.3,104.3,99.7,,,,,
2018,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,
2019,,100.9,103.9,98.6,100.8,100.1,97.2,101.6,99.6,,,,,
,,,,,,,,,,,,,,
2020,Q1,89.8,94.5,93.5,91.8,91.1,110.1,91.8,99.7,,,,,
,Q2,90.9,93.1,95.2,91.9,92.9,106.0,92.2,98.2,,,,,
,Q3,92.0,92.6,92.3,91.4,91.5,104.9,92.1,97.7,,,,,
,Q4,100.1,95.6,94.8,97.4,93.9,98.2,97.3,97.7,,,,,
,,,,,,,,,,,,,,  
2021,Q1,97.5,97.6,92.8,104.8,93.4,98.5,97.2,97.8,,,,,
,Q2,100.9,100.7,96.3,110.7,98.2,97.5,100.8,99.3,,,,,
,Q3,97.7,100.2,95.1,107.7,96.4,98.4,98.9,98.7,,,,,
,Q4,93.4,98.8,90.8,107.7,90.4,100.7,95.6,97.9,,,,,
,,,,,,,,,,,,,,
2022,Jan,95.2,101.7,93.8,113.0,93.0,101.6,98.1,99.6,,,,,
,Feb,95.8,102.1,94.3,113.5,92.9,100.6,98.5,99.4,,,,,
,Mar,96.1,101.9,97.0,121.8,95.2,96.7,99.6,98.3,,,,,
,Apr,92.5,104.2,96.3,125.5,95.9,100.8,98.9,99.8,,,,,
,May,94.5,105.2,98.6,127.0,100.5,100.5,100.9,100.7,,,,,
,Jun,92.0,104.9,99.8,132.6,98.8,102.6,99.9,101.1,,,,,
,Jul,93.3,109.0,99.7,130.0,100.4,102.9,101.7,102.3,,,,,
,Aug,91.3,108.4,101.6,132.0,101.1,103.6,100.8,102.1,,,,,
,Sep,86.9,106.1,104.6,130.7,100.5,105.4,98.0,101.3,,,,,
,Oct,86.8,101.3,95.3,132.5,100.3,106.7,96.1,100.8,,,,,
,Nov,89.6,100.1,95.0,128.0,101.7,101.9,97.1,99.2,,,,,
,Dec,90.7,99.4,95.1,123.3,100.3,103.6,96.9,99.9,,,,,
,,,,,,,,,,,,,,
2023,Jan,88.9,95.8,92.0,121.4,95.9,105.6,94.2,99.2,,,,,
,Feb,86.0,94.4,90.2,123.4,96.5,107.6,92.5,99.0,,,,,
,Mar,87.9,93.9,89.8,123.8,98.2,106.8,93.4,99.2,,,,,
,Apr,87.3,92.3,88.0,124.6,99.2,107.9,92.7,99.2,,,,,
,May,83.2,91.4,84.7,123.1,98.1,110.6,90.0,98.8,,,,,
,Jun,85.5,91.8,85.4,130.5,102.7,107.8,92.2,98.9,,,,,
,Jul,87.8,93.5,86.2,130.6,103.6,102.3,93.9,97.6,,,,,
,Aug,84.5,90.9,84.0,129.5,102.5,104.9,91.2,97.1,,,,,
,Sep,84.5,93.6,87.1,131.9,102.7,105.9,92.4,98.3,,,,,
,Oct,84.8,93.0,87.6,131.3,101.8,105.3,92.3,97.9,,,,,
,Nov,85.9,91.0,85.1,130.6,100.7,105.2,91.8,97.6,,,,,
,Dec,86.5,91.6,85.1,126.2,101.0,106.0,92.1,98.1,,,,,
,,,,,,,,,,,,,,
2024,Jan,84.5,91.5,84.4,132.1,100.8,106.2,91.4,97.8,,,,,
,Feb,83.7,90.3,83.3,132.4,99.7,106.7,90.4,97.4,,,,,
,Mar,83.2,90.4,83.5,134.4,101.4,105.4,90.5,96.9,,,,,
,Apr,83.9,92.3,85.1,140.2,102.9,103.8,92.0,97.1,,,,,
1.,Calculated using headline inflation.  ,,,,,,,,,,,,,
2.,The Chinese yuan (CNH) was introduced in October 2016.,,,,,,,,,,,,,
        3.          ,"REER (real effective exchange rate) is the trade-weighted exchange rate of the Pula against a fixed basket of currencies,",,,,,,,,,,,,,
,after allowing for relative inflation.,,,,,,,,,,,,,
Source:         ,Bank of Botswana,,,,,,,,,,,,,
