"indicator","Unit","Date","Value"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2016M1","2.8"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2016M2","3.1"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2016M3","2.7"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2016M4","2.7"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2016M5","2.5"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2016M6","2.6"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2016M7","3"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2016M8","2.9"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2016M9","2.9"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2016M10","3.1"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2016M11","3.5"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2016M12","3.5"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2017M1","3.6"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2017M2","3.8"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2017M3","4.2"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2017M4","4.2"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2017M5","4.1"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2017M6","3.9"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2017M7","3.7"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2017M8","3.6"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2017M9","3.4"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2017M10","3.3"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2017M11","3"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2017M12","3.1"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2018M1","2.8"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2018M2","2.7"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2018M3","2.3"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2018M4","2.7"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2018M5","2.5"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2018M6","2.3"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2018M7","2.09027356241052"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2018M8","2"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2018M9","2"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2018M10","2.5"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2018M11","2.6"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2018M12","2.5"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2019M1","2.4"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2019M2","2.27919205759122"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2019M3","2.18589485803398"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2019M4","1.6620443462442"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2019M5","1.80993790926918"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2019M6","2.09927061497017"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2019M7","2.13766157666344"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2019M8","2.2"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2019M9","2.3"
