"district","indicator","sex","age-group","marital-status","Unit","Date","Value"
"Botswana","Sorghum","Total number","totalnumber","Total","Thousand Hectares","1979","67"
"Botswana","Sorghum","Total number","totalnumber","Total","Thousand Hectares","1980","143"
"Botswana","Sorghum","Total number","totalnumber","Total","Thousand Hectares","1981","136"
"Botswana","Sorghum","Total number","totalnumber","Total","Thousand Hectares","1982","91"
"Botswana","Sorghum","Total number","totalnumber","Total","Thousand Hectares","1983","125"
"Botswana","Sorghum","Total number","totalnumber","Total","Thousand Hectares","1984","108"
"Botswana","Sorghum","Total number","totalnumber","Total","Thousand Hectares","1985","119"
"Botswana","Sorghum","Total number","totalnumber","Total","Thousand Hectares","1986","153"
"Botswana","Sorghum","Total number","totalnumber","Total","Thousand Hectares","1987","195"
"Botswana","Sorghum","Total number","totalnumber","Total","Thousand Hectares","1988","246"
"Botswana","Sorghum","Total number","totalnumber","Total","Thousand Hectares","1989","237"
"Botswana","Sorghum","Total number","totalnumber","Total","Thousand Hectares","1990","181"
"Botswana","Sorghum","Total number","totalnumber","Total","Thousand Hectares","1993","138"
"Botswana","Sorghum","Total number","totalnumber","Total","Thousand Hectares","1995","164"
"Botswana","Sorghum","Total number","totalnumber","Total","Thousand Hectares","1996","191"
"Botswana","Sorghum","Total number","totalnumber","Total","Thousand Hectares","1997","154"
"Botswana","Sorghum","Total number","totalnumber","Total","Thousand Hectares","1998","65"
"Botswana","Sorghum","Total number","totalnumber","Total","Thousand Hectares","1999","114"
"Botswana","Sorghum","Total number","totalnumber","Total","Thousand Hectares","2000","106"
"Botswana","Sorghum","Total number","totalnumber","Total","Thousand Hectares","2001","23"
"Botswana","Sorghum","Total number","totalnumber","Total","Thousand Hectares","2002","66"
"Botswana","Sorghum","Total number","totalnumber","Total","Thousand Hectares","2003","25"
"Botswana","Sorghum","Total number","totalnumber","Total","Thousand Hectares","2004","48"
"Botswana","Sorghum","Total number","totalnumber","Total","Thousand Hectares","2006","58"
"Botswana","Sorghum","Total number","totalnumber","Total","Thousand Hectares","2007","30"
"Botswana","Sorghum","Total number","totalnumber","Total","Thousand Hectares","2008","63"
"Botswana","Sorghum","Total number","totalnumber","Total","Thousand Hectares","2009","67"
"Botswana","Sorghum","Total number","totalnumber","Total","Thousand Hectares","2010","61"
"Botswana","Sorghum","Total number","totalnumber","Total","Thousand Hectares","2011","70"
"Botswana","Sorghum","Total number","totalnumber","Total","Thousand Hectares","2012","52"
"Botswana","Sorghum","Total number","totalnumber","Total","Thousand Hectares","2013","62"
"Botswana","Sorghum","Total number","totalnumber","Total","Thousand Hectares","2014","65"
"Botswana","Sorghum","Total number","totalnumber","Total","Thousand Hectares","2015","23"
"Botswana","Maize","Total number","totalnumber","Total","Thousand Hectares","1979","50"
"Botswana","Maize","Total number","totalnumber","Total","Thousand Hectares","1980","75"
"Botswana","Maize","Total number","totalnumber","Total","Thousand Hectares","1981","81"
"Botswana","Maize","Total number","totalnumber","Total","Thousand Hectares","1982","52"
"Botswana","Maize","Total number","totalnumber","Total","Thousand Hectares","1983","57"
"Botswana","Maize","Total number","totalnumber","Total","Thousand Hectares","1984","44"
"Botswana","Maize","Total number","totalnumber","Total","Thousand Hectares","1985","48"
"Botswana","Maize","Total number","totalnumber","Total","Thousand Hectares","1986","42"
"Botswana","Maize","Total number","totalnumber","Total","Thousand Hectares","1987","43"
"Botswana","Maize","Total number","totalnumber","Total","Thousand Hectares","1988","51"
"Botswana","Maize","Total number","totalnumber","Total","Thousand Hectares","1989","76"
"Botswana","Maize","Total number","totalnumber","Total","Thousand Hectares","1990","69"
"Botswana","Maize","Total number","totalnumber","Total","Thousand Hectares","1993","84"
"Botswana","Maize","Total number","totalnumber","Total","Thousand Hectares","1995","85"
"Botswana","Maize","Total number","totalnumber","Total","Thousand Hectares","1996","134"
"Botswana","Maize","Total number","totalnumber","Total","Thousand Hectares","1997","117"
"Botswana","Maize","Total number","totalnumber","Total","Thousand Hectares","1998","88"
"Botswana","Maize","Total number","totalnumber","Total","Thousand Hectares","1999","123"
"Botswana","Maize","Total number","totalnumber","Total","Thousand Hectares","2000","123"
"Botswana","Maize","Total number","totalnumber","Total","Thousand Hectares","2001","48"
"Botswana","Maize","Total number","totalnumber","Total","Thousand Hectares","2002","95"
"Botswana","Maize","Total number","totalnumber","Total","Thousand Hectares","2003","38"
"Botswana","Maize","Total number","totalnumber","Total","Thousand Hectares","2004","63"
"Botswana","Maize","Total number","totalnumber","Total","Thousand Hectares","2006","78"
"Botswana","Maize","Total number","totalnumber","Total","Thousand Hectares","2007","40"
"Botswana","Maize","Total number","totalnumber","Total","Thousand Hectares","2008","88"
"Botswana","Maize","Total number","totalnumber","Total","Thousand Hectares","2009","121"
"Botswana","Maize","Total number","totalnumber","Total","Thousand Hectares","2010","110"
"Botswana","Maize","Total number","totalnumber","Total","Thousand Hectares","2011","151"
"Botswana","Maize","Total number","totalnumber","Total","Thousand Hectares","2012","141"
"Botswana","Maize","Total number","totalnumber","Total","Thousand Hectares","2013","124"
"Botswana","Maize","Total number","totalnumber","Total","Thousand Hectares","2014","130"
"Botswana","Maize","Total number","totalnumber","Total","Thousand Hectares","2015","62"
"Botswana","Millet","Total number","totalnumber","Total","Thousand Hectares","1979","13"
