"district","indicator","sex","age-group","marital-status","Unit","Date","Value"
"Botswana","Cattle","Total number","totalnumber","Total","Number","1979","2840"
"Botswana","Cattle","Total number","totalnumber","Total","Number","1980","2911"
"Botswana","Cattle","Total number","totalnumber","Total","Number","1981","2967"
"Botswana","Cattle","Total number","totalnumber","Total","Number","1982","2979"
"Botswana","Cattle","Total number","totalnumber","Total","Number","1983","2818"
"Botswana","Cattle","Total number","totalnumber","Total","Number","1984","2685"
"Botswana","Cattle","Total number","totalnumber","Total","Number","1985","2459"
"Botswana","Cattle","Total number","totalnumber","Total","Number","1986","2332"
"Botswana","Cattle","Total number","totalnumber","Total","Number","1987","2264"
"Botswana","Cattle","Total number","totalnumber","Total","Number","1988","2408"
"Botswana","Cattle","Total number","totalnumber","Total","Number","1989","2543"
"Botswana","Cattle","Total number","totalnumber","Total","Number","1990","2696"
"Botswana","Cattle","Total number","totalnumber","Total","Number","1993","1821"
"Botswana","Cattle","Total number","totalnumber","Total","Number","1995","2530"
"Botswana","Cattle","Total number","totalnumber","Total","Number","1996","2249"
"Botswana","Cattle","Total number","totalnumber","Total","Number","1997","2212"
"Botswana","Cattle","Total number","totalnumber","Total","Number","1998","2345"
"Botswana","Cattle","Total number","totalnumber","Total","Number","1999","2581"
"Botswana","Cattle","Total number","totalnumber","Total","Number","2000","2099"
"Botswana","Cattle","Total number","totalnumber","Total","Number","2001","2468"
"Botswana","Cattle","Total number","totalnumber","Total","Number","2002","3060"
"Botswana","Cattle","Total number","totalnumber","Total","Number","2003","2028"
"Botswana","Cattle","Total number","totalnumber","Total","Number","2004","2155"
"Botswana","Cattle","Total number","totalnumber","Total","Number","2006","2071"
"Botswana","Cattle","Total number","totalnumber","Total","Number","2007","1788"
"Botswana","Cattle","Total number","totalnumber","Total","Number","2008","2220"
"Botswana","Cattle","Total number","totalnumber","Total","Number","2009","2413"
"Botswana","Cattle","Total number","totalnumber","Total","Number","2010","2635"
"Botswana","Cattle","Total number","totalnumber","Total","Number","2011","2554"
"Botswana","Cattle","Total number","totalnumber","Total","Number","2012","2247"
"Botswana","Cattle","Total number","totalnumber","Total","Number","2013","2084"
"Botswana","Cattle","Total number","totalnumber","Total","Number","2014","1597"
"Botswana","Cattle","Total number","totalnumber","Total","Number","2015","1744"
"Botswana","Goats","Total number","totalnumber","Total","Number","1979","616"
"Botswana","Goats","Total number","totalnumber","Total","Number","1980","638"
"Botswana","Goats","Total number","totalnumber","Total","Number","1981","621"
"Botswana","Goats","Total number","totalnumber","Total","Number","1982","636"
"Botswana","Goats","Total number","totalnumber","Total","Number","1983","783"
"Botswana","Goats","Total number","totalnumber","Total","Number","1984","889"
"Botswana","Goats","Total number","totalnumber","Total","Number","1985","1138"
