Date,CHN,EUR,GBP,USD,SDR,YEN,ZAR
"17 Jul 2026",0.5112,0.0659,0.0560,0.0755,0.0555,12.2500,1.2410
"16 Jul 2026",0.5128,0.0661,0.0560,0.0758,0.0556,12.2800,1.2377
"15 Jul 2026",0.5125,0.0662,0.0564,0.0757,0.0557,12.2800,1.2368
"14 Jul 2026",0.5108,0.0662,0.0564,0.0753,0.0555,12.2300,1.2408
"13 Jul 2026",0.5129,0.0663,0.0564,0.0756,0.0557,12.2600,1.2379
"10 Jul 2026",0.5145,0.0663,0.0565,0.0759,0.0558,12.2600,1.2355
"09 Jul 2026",0.5146,0.0661,0.0564,0.0757,0.0557,12.2800,1.2378
"08 Jul 2026",0.5157,0.0664,0.0567,0.0758,0.0559,12.3000,1.2345
"07 Jul 2026",0.5165,0.0664,0.0568,0.0759,0.0559,12.3000,1.2336
"06 Jul 2026",0.5158,0.0665,0.0569,0.0759,0.0559,12.3100,1.2336
"03 Jul 2026",0.5161,0.0664,0.0569,0.0761,0.0560,12.2500,1.2331
"02 Jul 2026",0.5130,0.0664,0.0568,0.0756,0.0557,12.2600,1.2387
"30 Jun 2026",0.5125,0.0662,0.0570,0.0755,0.0557,12.2500,1.2403
"29 Jun 2026",0.5129,0.0662,0.0571,0.0755,0.0557,12.2100,1.2405
"26 Jun 2026",0.5126,0.0662,0.0571,0.0753,0.0556,12.1800,1.2422
"25 Jun 2026",0.5115,0.0661,0.0570,0.0751,0.0555,12.1600,1.2449
"24 Jun 2026",0.5117,0.0661,0.0570,0.0752,0.0555,12.1500,1.2447
"23 Jun 2026",0.5121,0.0661,0.0570,0.0755,0.0556,12.2000,1.2430
"22 Jun 2026",0.5124,0.0660,0.0572,0.0756,0.0556,12.2200,1.2424
"19 Jun 2026",0.5124,0.0660,0.0572,0.0755,0.0556,12.1700,1.2440
"18 Jun 2026",0.5142,0.0660,0.0571,0.0760,0.0558,12.2100,1.2398
"17 Jun 2026",0.5163,0.0658,0.0570,0.0764,0.0559,12.2500,1.2377
"16 Jun 2026",0.5161,0.0659,0.0570,0.0763,0.0559,12.2300,1.2380
"15 Jun 2026",0.5170,0.0659,0.0569,0.0765,0.0560,12.2500,1.2368
"12 Jun 2026",0.5150,0.0658,0.0568,0.0762,0.0558,12.2100,1.2410
"11 Jun 2026",0.5121,0.0655,0.0565,0.0756,0.0554,12.1300,1.2496
"10 Jun 2026",0.5125,0.0655,0.0565,0.0756,0.0554,12.1300,1.2492
"09 Jun 2026",0.5133,0.0656,0.0567,0.0758,0.0556,12.1400,1.2468
"08 Jun 2026",0.5118,0.0654,0.0566,0.0754,0.0553,12.0900,1.2518
"05 Jun 2026",0.5162,0.0656,0.0567,0.0762,0.0557,12.1900,1.2435
"04 Jun 2026",0.5162,0.0656,0.0567,0.0762,0.0557,12.1800,1.2439
"03 Jun 2026",0.5162,0.0656,0.0567,0.0762,0.0557,12.1900,1.2436
"02 Jun 2026",0.5168,0.0656,0.0567,0.0765,0.0558,12.2100,1.2418
"01 Jun 2026",0.5174,0.0656,0.0568,0.0765,0.0558,12.2000,1.2419
"29 May 2026",0.5177,0.0657,0.0569,0.0765,0.0559,12.1800,1.2417
"28 May 2026",0.5150,0.0654,0.0567,0.0759,0.0556,12.1100,1.2490
"27 May 2026",0.5166,0.0654,0.0567,0.0762,0.0557,12.1400,1.2467
"26 May 2026",0.5177,0.0656,0.0566,0.0763,0.0557,12.1300,1.2455
"25 May 2026",0.5170,0.0655,0.0565,0.0762,0.0557,12.1100,1.2470
"22 May 2026",0.5163,0.0654,0.0566,0.0759,0.0555,12.0800,1.2502
"21 May 2026",0.5166,0.0653,0.0565,0.0759,0.0555,12.0700,1.2513
"20 May 2026",0.5137,0.0650,0.0563,0.0754,0.0552,11.9800,1.2587
"19 May 2026",0.5142,0.0649,0.0564,0.0756,0.0553,12.0300,1.2574
"18 May 2026",0.5135,0.0648,0.0565,0.0754,0.0552,11.9800,1.2601
"13 May 2026",0.5172,0.0650,0.0562,0.0762,0.0555,12.0100,1.2537
"12 May 2026",0.5168,0.0647,0.0561,0.0761,0.0554,11.9800,1.2566
"11 May 2026",0.5174,0.0648,0.0561,0.0762,0.0554,11.9600,1.2559
"08 May 2026",0.5193,0.0649,0.0562,0.0764,0.0556,11.9700,1.2526
"07 May 2026",0.5199,0.0650,0.0562,0.0764,0.0556,11.9500,1.2524
