Date,BDI_Close_mean,BDI_Close_median,BDI_Close_min,BDI_Close_max,BDI_Close_range,BDI_Close_std,BDI_Close_variance,BDI_Close_first,BDI_Close_last,BDI_Close_pct_change,BDI_Close_count,BDI_High_mean,BDI_High_median,BDI_High_min,BDI_High_max,BDI_High_range,BDI_High_std,BDI_High_variance,BDI_High_first,BDI_High_last,BDI_High_pct_change,BDI_High_count,BDI_Low_mean,BDI_Low_median,BDI_Low_min,BDI_Low_max,BDI_Low_range,BDI_Low_std,BDI_Low_variance,BDI_Low_first,BDI_Low_last,BDI_Low_pct_change,BDI_Low_count,Brent_USD_per_barrel,policy_rate,food_index,general_index,food_price_inflation,FAO_CP_23012_KEN,FAO_CP_23012_NAM,FAO_CP_23012_ZAF,FAO_CP_23012_ZWE,FAO_CP_23013_KEN,FAO_CP_23013_NAM,FAO_CP_23013_ZAF,FAO_CP_23013_ZWE
2000-01-01,1357.0400000000002,1357.2,1280.0,1406.0,37.2,13.992714233758786,212.676,1320.0,1280.0,-0.0048122775755162,24,1357.0400000000002,1357.2,1280.0,1406.0,37.2,13.992714233758786,212.676,1320.0,1280.0,-0.0048122775755162,24,1357.0400000000002,1357.2,1280.0,1406.0,37.2,13.992714233758786,212.676,1320.0,1280.0,-0.0048122775755162,24,25.51,14.0,31.912372,31.74832,3.602384,23.812742,35.757755,44.641378,89.176559,19.734948,31.185112,34.220779,89.609836
2000-02-01,1438.25,1437.5,1276.0,1578.0,65.0,23.524330293678087,590.26,1276.0,1578.0,0.0468619540709368,20,1438.25,1437.5,1276.0,1578.0,65.0,23.524330293678087,590.26,1276.0,1578.0,0.0468619540709368,20,1438.25,1437.5,1276.0,1578.0,65.0,23.524330293678087,590.26,1276.0,1578.0,0.0468619540709368,20,27.78,14.0,32.163038,31.974914,3.602384,24.058445,36.059572,44.50317,89.247592,19.562542,31.363868,34.468238,89.750393
2000-03-01,1629.5000000000002,1629.0,1588.0,1660.0,31.0,11.474918413387812,172.92,1588.0,1660.0,0.0102567136876517,20,1629.5000000000002,1629.0,1588.0,1660.0,31.0,11.474918413387812,172.92,1588.0,1660.0,0.0102567136876517,20,1629.5000000000002,1629.0,1588.0,1660.0,31.0,11.474918413387812,172.92,1588.0,1660.0,0.0102567136876517,20,27.49,14.0,32.413704,32.27704,3.602384,24.058445,36.36139,44.963863,89.318626,19.492224,31.542625,34.857108,89.890951
2000-04-01,1665.875,1666.25,1628.0,1686.0,14.75,5.528651035269411,33.80625,1669.0,1628.0,-0.0043633088795851,17,1665.875,1666.25,1628.0,1686.0,14.75,5.528651035269411,33.80625,1669.0,1628.0,-0.0043633088795851,17,1665.875,1666.25,1628.0,1686.0,14.75,5.528651035269411,33.80625,1669.0,1628.0,-0.0043633088795851,17,22.76,14.0,32.612508,32.679873,3.602384,24.508901,36.663207,45.562781,89.389659,19.959572,31.721382,35.175279,90.031508
2000-05-01,1597.9199999999998,1597.1,1562.0,1622.0,12.8,4.829191928816607,33.485,1622.0,1562.0,-0.0057314852585701,22,1597.9199999999998,1597.1,1562.0,1622.0,12.8,4.829191928816607,33.485,1622.0,1562.0,-0.0057314852585701,22,1597.9199999999998,1597.1,1562.0,1622.0,12.8,4.829191928816607,33.485,1622.0,1562.0,-0.0057314852585701,22,27.74,14.0,32.811312,32.88129,3.602384,25.16411,36.965024,45.747058,89.460692,20.859616,31.900139,35.458101,90.172066
2000-06-01,1591.3,1591.0,1559.0,1626.0,16.75,6.282287867845688,54.66,1561.0,1616.0,0.0071609195162142,20,1591.3,1591.0,1559.0,1626.0,16.75,6.282287867845688,54.66,1561.0,1616.0,0.0071609195162142,20,1591.3,1591.0,1559.0,1626.0,16.75,6.282287867845688,54.66,1561.0,1616.0,0.0071609195162142,20,29.8,14.0,33.010116,33.05753,3.602384,25.757893,37.266842,46.023474,89.531725,21.788795,32.078896,35.67021,90.312623
2000-07-01,1622.69,1622.3,1600.0,1648.0,9.6,3.529268270674354,14.729500000000002,1613.0,1648.0,0.002720443299336,24,1622.69,1622.3,1600.0,1648.0,9.6,3.529268270674354,14.729500000000002,1613.0,1648.0,0.002720443299336,24,1622.69,1622.3,1600.0,1648.0,9.6,3.529268270674354,14.729500000000002,1613.0,1648.0,0.002720443299336,24,28.68,14.0,33.010116,33.535894,3.602384,25.90122,37.568659,46.438099,89.602759,22.112498,32.257652,35.67021,90.45318
2000-08-01,1639.3875,1637.875,1627.0,1661.0,12.5,4.63477244558552,24.721875,1651.0,1661.0,0.0016951448679734,19,1639.3875,1637.875,1627.0,1661.0,12.5,4.63477244558552,24.721875,1651.0,1661.0,0.0016951448679734,19,1639.3875,1637.875,1627.0,1661.0,12.5,4.63477244558552,24.721875,1651.0,1661.0,0.0016951448679734,19,30.2,14.0,33.010116,33.611426,3.602384,26.003596,37.870477,46.622376,89.673792,22.390001,32.436409,35.740909,90.593738
2000-09-01,1714.0499999999995,1713.75,1666.0,1740.0,16.25,6.00544700907032,50.0,1666.0,1739.0,0.0090319977975253,20,1714.0499999999995,1713.75,1666.0,1740.0,16.25,6.00544700907032,50.0,1666.0,1739.0,0.0090319977975253,20,1714.0499999999995,1713.75,1666.0,1740.0,16.25,6.00544700907032,50.0,1666.0,1739.0,0.0090319977975253,20,33.14,14.0,33.010116,33.712134,3.602384,26.167398,38.172294,46.852723,89.744825,22.570781,32.615166,35.84697,90.734295
2000-10-01,1737.48,1737.4,1718.0,1762.0,10.0,3.6276235934249472,17.104000000000003,1735.0,1762.0,0.0021909446501423,25,1737.48,1737.4,1718.0,1762.0,10.0,3.6276235934249472,17.104000000000003,1735.0,1762.0,0.0021909446501423,25,1737.48,1737.4,1718.0,1762.0,10.0,3.6276235934249472,17.104000000000003,1735.0,1762.0,0.0021909446501423,25,30.96,14.0,32.992829,33.989082,3.602384,26.167398,38.474112,46.990931,89.815859,22.468355,32.793923,35.776258,90.874852
2000-11-01,1713.65,1713.25,1664.0,1761.0,21.5,7.6618652121697055,64.18,1761.0,1664.0,-0.0124792091656899,20,1713.65,1713.25,1664.0,1761.0,21.5,7.6618652121697055,64.18,1761.0,1664.0,-0.0124792091656899,20,1713.65,1713.25,1664.0,1761.0,21.5,7.6618652121697055,64.18,1761.0,1664.0,-0.0124792091656899,20,32.55,14.0,32.975541,34.064614,3.602384,26.372151,38.775929,47.083069,89.886892,22.730943,32.97268,35.67021,91.01541
2000-12-01,1605.6,1604.25,1581.0,1657.0,21.25,7.633623769544149,82.34666666666668,1657.0,1599.0,-0.0083347862481008,18,1605.6,1604.25,1581.0,1657.0,21.25,7.633623769544149,82.34666666666668,1657.0,1599.0,-0.0083347862481008,18,1605.6,1604.25,1581.0,1657.0,21.25,7.633623769544149,82.34666666666668,1657.0,1599.0,-0.0083347862481008,18,25.66,14.0,32.958254,34.140145,3.602384,26.413102,39.077747,47.221278,89.957925,22.873839,33.151436,35.599512,91.155967
2001-01-01,1561.08,1561.2,1488.0,1599.0,20.0,7.378276082872094,69.652,1599.0,1488.0,-0.0126026225211518,24,1561.08,1561.2,1488.0,1599.0,20.0,7.378276082872094,69.652,1599.0,1488.0,-0.0126026225211518,24,1561.08,1561.2,1488.0,1599.0,20.0,7.378276082872094,69.652,1599.0,1488.0,-0.0126026225211518,24,25.62,14.0,33.061978,34.291207,3.602384,26.658805,39.410318,47.820179,90.028959,22.919383,33.467834,35.917669,91.296524
