Date,"Consumer Prices, Food Indices (2015 = 100)","Consumer Prices, General Indices (2015 = 100)",Food price inflation
2000-01-01,31.912372,31.74832,3.602384
2000-02-01,32.163038,31.974914,3.602384
2000-03-01,32.413704,32.27704,3.602384
2000-04-01,32.612508,32.679873,3.602384
2000-05-01,32.811312,32.88129,3.602384
2000-06-01,33.010116,33.05753,3.602384
2000-07-01,33.010116,33.535894,3.602384
2000-08-01,33.010116,33.611426,3.602384
2000-09-01,33.010116,33.712134,3.602384
2000-10-01,32.992829,33.989082,3.602384
2000-11-01,32.975541,34.064614,3.602384
2000-12-01,32.958254,34.140145,3.602384
2001-01-01,33.061978,34.291207,3.602384
2001-02-01,33.243495,34.341562,3.359312
2001-03-01,33.295356,34.643687,2.72
2001-04-01,33.321287,34.794749,2.173337
2001-05-01,33.476873,35.273114,2.028451
2001-06-01,33.528735,35.373823,1.571092
2001-07-01,33.65839,35.524885,1.963865
2001-08-01,33.736183,35.625594,2.199529
2001-09-01,33.788045,35.776656,2.356638
2001-10-01,33.842976,35.952896,2.576765
2001-11-01,34.160093,36.053604,3.592213
2001-12-01,34.47721,36.103958,4.608727
2002-01-01,34.794327,36.229844,5.239702
2002-02-01,35.111444,36.280198,5.618992
2002-03-01,35.428561,36.758563,6.406912
2002-04-01,35.745678,37.211751,7.2758
2002-05-01,36.062794,37.312459,7.724501
2002-06-01,36.379911,37.463522,8.50368
2002-07-01,36.697028,38.672022,9.027878
2002-08-01,37.014145,39.150387,9.716459
2002-09-01,37.331262,39.402158,10.486601
2002-10-01,37.648379,39.553221,11.244292
2002-11-01,37.965496,39.830169,11.139908
2002-12-01,38.282613,39.930877,11.037445
2003-01-01,38.525545,40.157471,10.723638
2003-02-01,38.938687,40.509951,10.900273
2003-03-01,39.248544,40.68619,10.782214
2003-04-01,39.868258,41.240086,11.533088
2003-05-01,40.178115,41.491857,11.41154
2003-06-01,40.487972,42.045754,11.292112
2003-07-01,40.487972,42.020576,10.330383
2003-08-01,40.591257,42.196816,9.664176
2003-09-01,40.591257,42.272347,8.732615
2003-10-01,40.487972,42.322702,7.542404
2003-11-01,40.487972,42.448587,6.644127
2003-12-01,40.591257,42.473764,6.03053
2004-01-01,40.694543,42.619445,5.630027
2004-02-01,40.901114,43.059388,5.039788
2004-03-01,41.314257,43.49933,5.263158
2004-04-01,41.933971,43.939273,5.181347
2004-05-01,42.037256,44.544194,4.627249
2004-06-01,42.347113,44.874151,4.591837
2004-07-01,42.037256,44.819158,3.826531
2004-08-01,42.140542,44.984137,3.816794
2004-09-01,42.243828,45.259101,4.071247
2004-10-01,42.347113,45.534065,4.591837
2004-11-01,42.450399,45.644051,4.846939
2004-12-01,42.553685,45.809029,4.834606
2005-01-01,42.65697,46.029,4.822335
2005-02-01,42.553685,46.193979,4.040404
2005-03-01,42.553685,46.303965,3.0
2005-04-01,42.966827,46.633922,2.463054
2005-05-01,42.863541,47.348828,1.965602
2005-06-01,43.689827,48.063735,3.170732
2005-07-01,44.412826,48.503678,5.651106
2005-08-01,44.825969,49.32857,6.372549
2005-09-01,45.342397,49.768513,7.334963
2005-10-01,45.755539,50.648398,8.04878
2005-11-01,46.168682,50.813377,8.759124
2005-12-01,46.271968,50.978355,8.737864
2006-01-01,47.201538,51.858241,10.653753
2006-02-01,47.717967,52.24319,12.135922
2006-03-01,48.440966,52.683133,13.834951
2006-04-01,49.163966,53.288054,14.423077
2006-05-01,49.78368,53.78299,16.144578
2006-06-01,49.886965,54.057954,14.184397
2006-07-01,50.093536,54.277925,12.790698
2006-08-01,50.609965,54.607882,12.903226
2006-09-01,50.71325,54.992832,11.845103
2006-10-01,51.023107,55.322789,11.512415
2006-11-01,50.816536,55.267796,10.067114
2006-12-01,50.71325,55.322789,9.598214
2007-01-01,51.229679,55.707739,8.533917
2007-02-01,51.746107,56.037696,8.441558
2007-03-01,52.469106,56.092689,8.315565
