Date,FAO_CP_23012,FAO_CP_23013,FAO_CP_23014,REF_AREA,REF_AREA_LABEL
2000-01-01,31.74832,31.912372,6.3225295,BWA,Botswana
2000-01-01,23.812742,19.734948,6.3225295,KEN,Kenya
2000-01-01,35.757755,31.185112,6.3225295,NAM,Namibia
2000-01-01,44.641378,34.220779,6.3225295,ZAF,South Africa
2000-01-01,89.176559,89.609836,6.3225295,ZWE,Zimbabwe
2000-02-01,31.974914,32.163038,6.3225295,BWA,Botswana
2000-02-01,24.058445,19.562542,6.3225295,KEN,Kenya
2000-02-01,36.059572,31.363868,6.3225295,NAM,Namibia
2000-02-01,44.50317,34.468238,6.3225295,ZAF,South Africa
2000-02-01,89.247592,89.750393,6.3225295,ZWE,Zimbabwe
2000-03-01,32.27704,32.413704,6.3225295,BWA,Botswana
2000-03-01,24.058445,19.492224,6.3225295,KEN,Kenya
2000-03-01,36.36139,31.542625,6.3225295,NAM,Namibia
2000-03-01,44.963863,34.857108,6.3225295,ZAF,South Africa
2000-03-01,89.318626,89.890951,6.3225295,ZWE,Zimbabwe
2000-04-01,32.679873,32.612508,6.3225295,BWA,Botswana
2000-04-01,24.508901,19.959572,6.3225295,KEN,Kenya
2000-04-01,36.663207,31.721382,6.3225295,NAM,Namibia
2000-04-01,45.562781,35.175279,6.3225295,ZAF,South Africa
2000-04-01,89.389659,90.031508,6.3225295,ZWE,Zimbabwe
2000-05-01,32.88129,32.811312,6.3225295,BWA,Botswana
2000-05-01,25.16411,20.859616,6.3225295,KEN,Kenya
2000-05-01,36.965024,31.900139,6.3225295,NAM,Namibia
2000-05-01,45.747058,35.458101,6.3225295,ZAF,South Africa
2000-05-01,89.460692,90.172066,6.3225295,ZWE,Zimbabwe
2000-06-01,33.05753,33.010116,6.3225295,BWA,Botswana
2000-06-01,25.757893,21.788795,6.3225295,KEN,Kenya
2000-06-01,37.266842,32.078896,6.3225295,NAM,Namibia
2000-06-01,46.023474,35.67021,6.3225295,ZAF,South Africa
2000-06-01,89.531725,90.312623,6.3225295,ZWE,Zimbabwe
2000-07-01,33.535894,33.010116,6.3225295,BWA,Botswana
2000-07-01,25.90122,22.112498,6.3225295,KEN,Kenya
2000-07-01,37.568659,32.257652,6.3225295,NAM,Namibia
2000-07-01,46.438099,35.67021,6.3225295,ZAF,South Africa
2000-07-01,89.602759,90.45318,6.3225295,ZWE,Zimbabwe
2000-08-01,33.611426,33.010116,6.3225295,BWA,Botswana
2000-08-01,26.003596,22.390001,6.3225295,KEN,Kenya
2000-08-01,37.870477,32.436409,6.3225295,NAM,Namibia
2000-08-01,46.622376,35.740909,6.3225295,ZAF,South Africa
2000-08-01,89.673792,90.593738,6.3225295,ZWE,Zimbabwe
2000-09-01,33.712134,33.010116,6.3225295,BWA,Botswana
2000-09-01,26.167398,22.570781,6.3225295,KEN,Kenya
2000-09-01,38.172294,32.615166,6.3225295,NAM,Namibia
2000-09-01,46.852723,35.84697,6.3225295,ZAF,South Africa
2000-09-01,89.744825,90.734295,6.3225295,ZWE,Zimbabwe
2000-10-01,33.989082,32.992829,6.3225295,BWA,Botswana
2000-10-01,26.167398,22.468355,6.3225295,KEN,Kenya
2000-10-01,38.474112,32.793923,6.3225295,NAM,Namibia
2000-10-01,46.990931,35.776258,6.3225295,ZAF,South Africa
2000-10-01,89.815859,90.874852,6.3225295,ZWE,Zimbabwe
2000-11-01,34.064614,32.975541,6.3225295,BWA,Botswana
2000-11-01,26.372151,22.730943,6.3225295,KEN,Kenya
2000-11-01,38.775929,32.97268,6.3225295,NAM,Namibia
2000-11-01,47.083069,35.67021,6.3225295,ZAF,South Africa
