Date,"Annual Inflation, Rural Village","Annual Inflation, Urban Village",Food_and_Non_Alcoholic_Beverages_Index,Imported Tradeables Index,Inflation (%),Core Monthly Inflation (Excluding Administered Prices) (percentage),Consumer Price Index (Trimmed Mean) (September 2016 = 100),Core Monthly Inflation Rate (Trimmed Mean) (percentage)
2016-01-01,2.8,2.6,97.6,99.0971199588638,-0.295646900892332,4.01841623961821,97.4586654212653,2.8
2016-02-01,3.1,3.2,98.2,98.7510131424247,0.74009863791451,3.69196329252401,97.7,2.6
2016-03-01,2.7,3.2,98.5,99.0021212275673,0.800083036631327,3.66604632530785,97.9208870725751,2.5
2016-04-01,2.7,3.2,99.3,99.3936549137478,0.906156118160251,3.86738965763649,98.5,2.4
2016-05-01,2.5,3.1,99.4,99.4288313307608,0.805551690749917,3.83435765122611,98.7,2.3
2016-06-01,2.6,2.8,99.1,99.6093065148629,0.89078077919631,3.63684379300879,98.7,2.4
2016-07-01,3.0,2.7,99.3,99.7239099371698,0.722624371670966,3.64851072431529,99.5,2.5
2016-08-01,2.9,2.6,99.7,99.8548132597168,0.555150370617308,3.62070380476915,99.7,2.4
2016-09-01,2.9,2.7,100.0,100.0,0.856321770899182,3.5544491157502,100.0,2.6
2016-10-01,3.1,2.7,100.4,100.1935,0.855593859436943,3.41868330925581,100.2,2.2
2016-11-01,3.5,2.9,100.9,100.5196,1.19292070702286,3.72535332078039,100.435798006059,2.5
2016-12-01,3.5,3.0,101.0,100.59,1.7,3.7,100.5,2.5
2017-01-01,3.6,2.8,101.9,100.8,1.7,3.9,101.0,2.7
2017-02-01,3.8,2.9,102.3,101.1,2.4,3.9,101.1,2.9
2017-03-01,4.2,3.0,102.8,101.8,2.9,3.9,101.7,3.1
2017-04-01,4.2,3.0,103.1,93.7732215635761,2.68804390840716,3.3,102.0,3.1
2017-05-01,4.1,3.1,103.4,93.9849948733403,2.88353853793331,3.4,102.1,3.1
2017-06-01,3.9,3.3,103.3,102.5,2.9,3.3,102.4,2.9
2017-07-01,3.7,3.2,103.6,102.7,3.0,3.3,102.5,2.9
2017-08-01,3.6,3.2,103.5,103.0,3.1,3.3,102.6,2.9
2017-09-01,3.4,3.0,102.8,103.1,3.1,3.0,102.7,2.7
2017-10-01,3.3,2.7,102.8,103.2,3.0,2.8,102.7,2.6
