rank,model,feature_subset,n_features,mae,mae_std,rmse,rmse_std,r2,r2_std,training_time_seconds
1,LightGBMRegressor,top_100,100,2.7377428084422197,1.3900092579198269,3.3555478944676316,1.8543924382007124,-0.23157817394247995,0.4292171202000529,0.5281704169992736
2,LightGBMRegressor,top_200,200,2.965140522188708,1.6738672582064715,3.5423801084166717,2.0977306956697155,-0.5351599389625721,1.1073036020827756,2.789050413000041
3,LightGBMRegressor,top_50,50,2.8850300213522653,1.23223370698635,3.5546334746156125,1.7147176467692684,-0.4628144056967171,0.5056007595672766,2.4859856440007206
4,LightGBMRegressor,top_25,25,3.0666860715123283,1.2367211514083494,3.7524552978827925,1.693241952427536,-0.8262901546891616,1.225917140759498,0.6203178120013035
5,RandomForestRegressor,top_25,25,3.5332628144984968,1.52675925519564,4.1727529651416795,1.9193757097231072,-1.3400228680123263,1.2806995971039759,3.383839769001497
6,RandomForestRegressor,top_100,100,3.4110056500049226,1.8439982472464895,4.207475357581777,2.377699984057451,-1.1293023975469132,1.042960852384578,3.803285401001631
7,RandomForestRegressor,top_50,50,3.5655153640697876,1.579753934284599,4.317186749496679,1.9910560199357106,-1.4402900554560405,1.2827660883471328,5.7937330519998795
8,RandomForestRegressor,top_200,200,3.886817451556754,1.884416805690316,4.579302453821496,2.3653564614103724,-1.7963020528674576,1.9325303982695772,3.138583531999757
9,LightGBMRegressor,top_500,500,4.263736630588552,3.0777359416623233,4.828778916070319,3.194824113261259,-3.9782809791754126,7.6048706792721825,2.414963080999769
10,RandomForestRegressor,top_500,500,4.45466970539657,2.5471242571213324,5.029232143649538,2.746436361515409,-3.533800756178704,5.632964065764366,3.129310976999477
