feature,mean_abs_shap
food_index_std12,1.1529218080285275
PI201135_std12,0.3937049318360934
BDI_Low_variance_std12,0.3400068618367604
Inflation (%)_roll3,0.3242640961981041
PI101125_roll12,0.2538081244336289
food_index_std6,0.2519891075693155
PI101125_roll6,0.23745110761377197
PI101002_std12,0.2056342425533945
PI201053,0.20080062974134338
Inflation (%)_roll6,0.17212971147053666
PI101125_lag6,0.1408265013628865
EUR_range_roll6,0.13672716332895785
EUR_median_lag12,0.12110013923768564
USD_std_std12,0.11518632385242643
PI101161,0.1057026531608054
Imported Tradeables Index_roll12,0.09861563863912451
GBP_range_std12,0.08792952681926942
PI101154_lag12,0.07785996342020657
PI101105_roll3,0.07291140590603244
EUR_mean_lag12,0.07290603052418217
Maize_Thousand Hectares_2_lag6,0.07113176080988164
GBP_mean_lag12,0.06190746719252104
PI201132_std12,0.05818299365388867
core_inflation_lag6,0.05682225647818353
GBP_range,0.05467785302260379
PI101124_lag6,0.054673706444137965
SDR_mean_std12,0.05357526566372649
BDI_High_variance_lag12,0.05209360176701135
PI201091*x*general_index,0.04980724762684957
BDI_Close_first_std12,0.04730972963054569
PI101122_lag3,0.04521200086702447
BDI_High_std_std12,0.04447230592523402
PI101004_lag6,0.04393157870668652
PI201113_lag12,0.042617117957288016
PI101143_roll6,0.04151615863659471
Pulses_metric tonnes_lag12,0.04129710930892359
BDI_Low_pct_change_roll12,0.039003956497925214
GBP_median_std12,0.03896582772034059
PI101004_lag12,0.038852815202488095
PI101161_roll3,0.037842468062687776
USD_mean_lag12,0.03765049294863468
PI201122_std12,0.03646105434269585
PI101154_lag3,0.0351071000090813
BDI_High_pct_change_std12,0.030505054018759317
BDI_Close_max_lag12,0.028801639358294565
PI201032_std12,0.028598559175988515
BDI_Low_pct_change_std3,0.028542785173178313
PI201071_roll6,0.026722675174622443
PI201053_std12,0.026513919410481486
ZAR_range_roll3,0.026325330963193477
PI101102_roll12,0.025230645636464953
BDI_Close_max_roll12,0.02452340567691565
PI101162_std6,0.02438277936250274
food_index_lag12,0.023136990813897598
PI201004_lag3,0.022192858681518476
general_index_std12,0.020874633005675634
PI101154_roll3,0.020235197146689927
PI101152_lag12,0.02003609400287852
PI101154_lag1,0.019884259126612777
PI101155_lag12,0.019611308666696102
PI201064_lag6,0.018789325671617448
PI101201_std12,0.01874699249288584
ZAR_range_lag12,0.018714827234510595
USD_range_std3,0.017612746590578942
PI101422_lag6,0.01702815928349954
Imported Tradeables Index_roll3,0.01685845478288151
BDI_Close_last_std12,0.01648166716235717
PI201111_lag12,0.01624715801954951
BDI_Low_pct_change_roll6,0.01602801042690247
BDI_Close_first_roll12,0.015758869536604818
PI101204_std6,0.015599151311107307
BDI_High_pct_change_trend,0.015578406679041994
GBP_mean_std12,0.015405637385575143
PI101445_lag1,0.015324510816637585
ZAR_median_lag12,0.014799410100628449
PI101124_lag3,0.01468164915914766
PI201101,0.014575736899641555
BDI_High_pct_change_std3,0.013907209021879764
PI101202_lag6,0.013795886657480582
food_index_pct_change,0.013244823266922778
Brent_USD_per_barrel*x*EUR_median,0.013142002820009173
PI201121_std12,0.012865181460071077
Sunflower_KG/HA_lag1,0.012685873214780074
PI201051,0.01266697628020334
BDI_Low_pct_change_std6,0.012636663700340724
PI101203_lag3,0.01242807603703554
PI201032_trend,0.012371613370192432
PI201051_std12,0.01233495857868146
PI201092_roll6,0.012290125665434522
GBP_mean_lag3,0.01221132907407425
BDI_Close_variance_roll6,0.01184529997462108
PI101204_std3,0.011835830019125127
PI201004,0.011768400520147056
SDR_median_std12,0.011572779136303314
Brent_USD_per_barrel*x*USD_mean,0.011230491123847665
ZAR_std,0.01103902499519188
YEN_std_roll3,0.010805083677748925
USD_range_std12,0.01073928046992956
YEN_std_lag2,0.010696234728231734
BDI_High_variance_lag3,0.010659284301478089
ZAR_range_std6,0.010280314338937708
PI953221*x*general_index,0.010160260481892348
PI101422_std12,0.010114937667481018
Sunflower_KG/HA_lag6,0.009986254068406376
YEN_median_lag6,0.009918975393609602
PI201032_pct_change,0.009823254329148637
PI101205_std6,0.009715982616348366
YEN_pct_change_std6,0.009713081901532377
Brent_USD_per_barrel_roll6,0.009677764964436482
YEN_mean_std3,0.009676345593164846
YEN_range,0.009347808912131609
Sunflower_metric tonnes_lag3,0.009139076031565703
PI101101_roll6,0.008825128455242323
PI101121_trend,0.008546568693931467
Month,0.008479142885556033
PI101005_roll6,0.008477770984480985
PI101141_roll6,0.008381470400661253
general_index_trend,0.0083479647655383
SDR_std_lag1,0.008319577656586011
Pulses_Thousand Hectares_lag2,0.008318388640569396
EUR_range_std12,0.008224385838539218
ZAR_median,0.008081257774756477
EUR_median_pct_change,0.007986300090535142
PI101124_std6,0.007942773820483457
BDI_Low_variance_lag3,0.007928544707189612
Pulses_Thousand Hectares_lag1,0.007783546443496636
BDI_High_pct_change_roll6,0.007728336788211423
EUR_median_std12,0.007699551323054809
Brent_USD_per_barrel*x*SDR_std,0.007635702824937865
BDI_High_range_std6,0.00749912081777194
Brent_USD_per_barrel_lag2,0.007384066269904105
PI101161_std6,0.007262989691223112
BDI_Close_count_std12,0.007220356561228249
BDI_High_median_std3,0.007155741436534948
food_index_trend,0.007039908554520675
EUR_pct_change_pct_change,0.007035555501489237
ZAR_pct_change_lag6,0.006823516291104318
PI201005_std3,0.006717121700534198
SDR_range_std3,0.0066334388175528025
PI101172_std6,0.006617177407128889
BDI_High_std_lag12,0.006604164780664201
YEN_pct_change_std3,0.00659666973892689
USD_mean_roll12,0.006504868670643363
Pulses_metric tonnes_lag6,0.006473190290132638
PI201111_std6,0.006461265872784326
SDR_median,0.006428025839905136
PI201063_roll3,0.0063708112654246385
USD_pct_change_roll3,0.006342467004731105
USD_mean_std6,0.006321793149262732
YEN_std_lag3,0.0063022920136852146
Pulses_KG/HA_lag1,0.0062126702633939586
Imported Tradeables Index_lag2,0.006178454918006188
PI101184_trend,0.006149607981994591
GBP_std,0.006142658525662619
Brent_USD_per_barrel*x*GBP_range,0.006096539476701268
PI201092_lag3,0.006075173410112708
Brent_USD_per_barrel*x*GBP_std,0.0059712374733043
PI201003_lag12,0.005892919826312093
Groundnuts_metric tonnes_lag6,0.005832062174473978
GBP_median_std3,0.005776315972834154
PI201004_std6,0.005770667748985144
YEN_range_lag12,0.005761718133985034
ZAR_std_lag12,0.005688900945764619
SDR_pct_change_roll12,0.005667672930811484
Sorghum_Thousand Hectares_2_lag2,0.005643932974660965
PI201132_std6,0.005583187376752899
PI201092_lag6,0.005567583849990293
PI201034_std12,0.005565095269917646
BDI_Low_pct_change_roll3,0.005524824422430564
SDR_std_std12,0.005482606209023134
SDR_mean,0.00548096630423528
EUR_pct_change_std3,0.005369969516709804
PI101205_roll12,0.005346875961344482
USD_mean_std12,0.005317892730702463
BDI_Low_range_std12,0.0053125692235450675
GBP_pct_change_lag2,0.005308089659315787
BDI_Low_variance_lag2,0.005307564402616399
Brent_USD_per_barrel_lag12,0.005302110020841895
GBP_pct_change_pct_change,0.005268621230776457
SDR_std_lag12,0.005263471689433999
BDI_Close_max_std3,0.0052536006008605755
YEN_pct_change_roll6,0.005168445893768466
YEN_mean_lag12,0.005143161624795763
Brent_USD_per_barrel*x*USD_range,0.0050682160221592314
PI201095_std12,0.005012189789733245
Sorghum_Thousand Hectares_lag3,0.00501111880945719
PI201034_std6,0.004933393798118224
BDI_Low_std_lag1,0.004932550076018952
PI919001_std12,0.0048874728611828875
USD_pct_change_roll6,0.004886713452197543
YEN_median_lag2,0.004875036975187435
YEN_range_std6,0.004832639196049021
GBP_range_roll12,0.004730266249060762
Sorghum_Thousand Hectares_2_lag3,0.004661620998460942
PI101105_lag6,0.004607297391216279
USD_std_lag6,0.004493544688811993
Brent_USD_per_barrel*x*ZAR_mean,0.004407775460871245
BDI_Close_min_std12,0.004287054377716259
GBP_std_roll12,0.004274087126865848
YEN_pct_change_std12,0.0042567398899556195
BDI_High_pct_change_lag12,0.004240682815737592
GBP_pct_change_lag6,0.0042256660249529645
PI101005_trend,0.004187559855181957
PI101154_lag6,0.004161714078030109
YEN_pct_change_lag1,0.004152616351690832
SDR_range_trend,0.004120516510883854
PI101201_lag12,0.0041142898796290885
ZAR_pct_change_lag12,0.004107817135945983
ZAR_mean_pct_change,0.004093786376981612
PI101132_std6,0.00409369673187855
YEN_pct_change_roll3,0.004074281096281169
PI101142_lag3,0.0040382666878193115
YEN_median_std6,0.0040136522274148625
PI101002_std6,0.004003372845733102
SDR_pct_change_roll3,0.003958994058244833
BDI_Close_min_roll12,0.003955558593822539
BDI_Close_pct_change_pct_change,0.003954390178978929
ZAR_std_std6,0.003923663381969405
USD_std_roll3,0.003923350841871034
GBP_mean_roll3,0.003921298830541581
Sunflower_KG/HA,0.003894609141253203
SDR_pct_change_std3,0.0038871515455888117
YEN_std,0.003879123025338063
PI101124_std12,0.003841450181917525
ZAR_pct_change_std12,0.003834998068835401
ZAR_median_lag3,0.003829624576304207
Brent_USD_per_barrel*x*YEN_mean,0.0037774106521342265
PI101142_lag12,0.003762940241137566
GBP_pct_change_std3,0.0037154532231324076
BDI_Close_first_lag6,0.0036505197343058675
Brent_USD_per_barrel*x*ZAR_range,0.0036335713378924718
PI201005_pct_change,0.003567160329694955
SDR_pct_change_roll6,0.0035641989979270554
PI201001_lag12,0.0035543888144725986
YEN_pct_change_lag2,0.0035092298803406302
PI101143_std6,0.003508749257067068
USD_range_lag6,0.003472027295253535
PI101442_std6,0.0034619330210028305
SDR_std_std3,0.0034398185608866022
GBP_range_lag6,0.0034373056012732893
BDI_Low_pct_change_trend,0.003423327321538091
GBP_range_std6,0.0034058879864380556
SDR_mean_std3,0.00335930128650694
BDI_Close_max_std6,0.0033518598389759907
PI101135_std12,0.00334563530914948
Sunflower_metric tonnes_lag2,0.0033214618794085706
PI101405_std12,0.003267377610771194
YEN_mean_roll6,0.003265313829167727
ZAR_std_std12,0.0032398544651620286
Millet_KG/HA,0.003237607712353366
BDI_High_min_trend,0.003224979349655572
EUR_mean_pct_change,0.0032183251352432473
ZAR_std_roll3,0.003210245914465876
USD_pct_change_std3,0.0032027381219303986
YEN_pct_change_lag6,0.003196890845850065
PI101205*x*general_index,0.003166285392133892
Groundnuts_metric tonnes_lag3,0.0031631692038237087
SDR_range_lag6,0.003142008299078389
YEN_range_roll3,0.003119719315458742
USD_median_std3,0.0031024760157929553
PI201091_lag12,0.003089464212922106
PI101405_std6,0.003081985765157874
BDI_High_range_lag12,0.0030448204453743513
PI101442_trend,0.00304380532512944
