number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.609536922884552,2026-07-24 14:59:32.499024,2026-07-24 14:59:33.067694,0 days 00:00:00.568670,0.8253921622809783,0.08265243911156489,10,40,199,47,4.234192980847336e-08,2.163428944836469e-06,0.8384735546436518,COMPLETE
1,0.7342453654844215,2026-07-24 14:59:33.100590,2026-07-24 14:59:34.308485,0 days 00:00:01.207895,0.9683577347018648,0.06292691795570775,6,7,475,79,7.181791458882546e-07,8.570630698178648e-05,0.7508509597577977,COMPLETE
2,0.7556850475954922,2026-07-24 14:59:34.333765,2026-07-24 14:59:36.459514,0 days 00:00:02.125749,0.9681949312103559,0.010697536177510883,12,13,756,61,1.4402471156698057e-07,0.0003573965362487956,0.8419714717326107,COMPLETE
3,0.6741920563049815,2026-07-24 14:59:36.476707,2026-07-24 14:59:37.385608,0 days 00:00:00.908901,0.817090404198056,0.06120975269047972,5,22,638,49,1.5235948316708952e-05,0.1945465343045347,0.7803346412847707,COMPLETE
4,0.6357722724183088,2026-07-24 14:59:37.401601,2026-07-24 14:59:38.333527,0 days 00:00:00.931926,0.8800898119729154,0.02340380092265066,5,21,650,58,1.6659921932169083e-05,9.854532902719037e-05,0.7735424280805382,COMPLETE
5,0.9809022781149455,2026-07-24 14:59:38.350372,2026-07-24 14:59:39.193520,0 days 00:00:00.843148,0.7992587504397298,0.03059962331390113,4,31,618,88,0.003299525192263966,0.00035378984079451785,0.7978309152750991,COMPLETE
6,0.7901385160818032,2026-07-24 14:59:39.209481,2026-07-24 14:59:39.969934,0 days 00:00:00.760453,0.9844139130510241,0.010038715393159925,10,23,420,16,0.008722623652613656,2.898443817296261e-08,0.8936561622309391,COMPLETE
7,0.4173406607208928,2026-07-24 14:59:39.987563,2026-07-24 14:59:40.452320,0 days 00:00:00.464757,0.8153133987009408,0.04976745494183257,12,39,351,28,0.20892032956379974,1.3820620601092508e-07,0.9469403082931911,COMPLETE
8,0.34945713507893233,2026-07-24 14:59:40.473511,2026-07-24 14:59:41.413257,0 days 00:00:00.939746,0.7635491593853551,0.035036927309826715,7,9,350,74,4.105206779063718e-06,2.7522743221960336e-07,0.7702377853965254,COMPLETE
9,0.8287159543398184,2026-07-24 14:59:41.435937,2026-07-24 14:59:42.200079,0 days 00:00:00.764142,0.9223747605403638,0.03365354264215483,10,23,420,76,0.5229979389007592,0.007431870516159504,0.811220603657147,COMPLETE
10,0.5532981461310731,2026-07-24 14:59:42.217589,2026-07-24 14:59:43.062008,0 days 00:00:00.844419,0.6647078770539301,0.12572211425643706,7,8,241,94,0.00018825643498152084,4.184460419232898,0.6651698695460427,COMPLETE
11,0.403831443764669,2026-07-24 14:59:43.079654,2026-07-24 14:59:43.540781,0 days 00:00:00.461127,0.7351813967918586,0.040757922974137974,8,40,323,8,3.790720165734351,1.3390666484843385e-08,0.9932078533694901,COMPLETE
12,0.8342690091014869,2026-07-24 14:59:43.558288,2026-07-24 14:59:44.006692,0 days 00:00:00.448404,0.7100336928785079,0.01824497204258426,8,30,289,8,0.018549138458123116,7.262852246808326e-07,0.9909497942979801,COMPLETE
13,0.46938840116784164,2026-07-24 14:59:44.028461,2026-07-24 14:59:44.465965,0 days 00:00:00.437504,0.7447061331650656,0.03968064229508517,8,15,154,30,4.711780759784874,1.0751858384127816e-08,0.6731241329638261,COMPLETE
14,0.9261340637764061,2026-07-24 14:59:44.486445,2026-07-24 14:59:45.243436,0 days 00:00:00.756991,0.7349793844174116,0.02228256347806299,8,33,516,38,0.00011891804632439418,2.4632143716460224e-06,0.9166014461538525,COMPLETE
15,0.6188178879892942,2026-07-24 14:59:45.260301,2026-07-24 14:59:45.743345,0 days 00:00:00.483044,0.6571598755866697,0.016475462852677435,3,15,323,70,1.2503146846061662e-06,1.79184455938502e-07,0.7222751952691691,COMPLETE
16,0.8970461078702531,2026-07-24 14:59:45.766026,2026-07-24 14:59:46.256549,0 days 00:00:00.490523,0.7701602068020805,0.09391273143019949,7,35,368,22,0.0007171887050931779,8.832162623320132e-06,0.9914050484755013,COMPLETE
17,0.7779128094845775,2026-07-24 14:59:46.272379,2026-07-24 14:59:46.791083,0 days 00:00:00.518704,0.7081537262358588,0.04552245523004882,9,27,263,41,0.09112048883831039,7.201328935992537e-08,0.8791677787920563,COMPLETE
18,0.4575395395100858,2026-07-24 14:59:46.814694,2026-07-24 14:59:48.580882,0 days 00:00:01.766188,0.8896913149880658,0.03062600116770148,6,10,533,59,1.120801414646573e-08,1.2338235896409388e-08,0.7088115778236579,COMPLETE
19,0.5414377257852065,2026-07-24 14:59:48.600507,2026-07-24 14:59:49.235148,0 days 00:00:00.634641,0.8578057957754734,0.07249772247003235,9,5,401,84,4.48243800488811,1.463915852137246e-05,0.9439480932250788,COMPLETE
