number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.5385174482764027,2026-07-24 15:01:26.538566,2026-07-24 15:01:35.545590,0 days 00:00:09.007024,0.8253921622809783,0.08265243911156489,10,40,199,47,4.234192980847336e-08,2.163428944836469e-06,0.8384735546436518,COMPLETE
1,0.44404192711716794,2026-07-24 15:01:35.569494,2026-07-24 15:02:24.421714,0 days 00:00:48.852220,0.9683577347018648,0.06292691795570775,6,7,475,79,7.181791458882546e-07,8.570630698178648e-05,0.7508509597577977,COMPLETE
2,0.6710101902590576,2026-07-24 15:02:24.466418,2026-07-24 15:04:34.703152,0 days 00:02:10.236734,0.9681949312103559,0.010697536177510883,12,13,756,61,1.4402471156698057e-07,0.0003573965362487956,0.8419714717326107,COMPLETE
3,0.3385375065902176,2026-07-24 15:04:34.724134,2026-07-24 15:05:28.111613,0 days 00:00:53.387479,0.817090404198056,0.06120975269047972,5,22,638,49,1.5235948316708952e-05,0.1945465343045347,0.7803346412847707,COMPLETE
4,0.41002209164461884,2026-07-24 15:05:28.138868,2026-07-24 15:05:54.294306,0 days 00:00:26.155438,0.8800898119729154,0.02340380092265066,5,21,650,58,1.6659921932169083e-05,9.854532902719037e-05,0.7735424280805382,COMPLETE
5,0.49694809592557154,2026-07-24 15:05:54.311365,2026-07-24 15:06:09.775362,0 days 00:00:15.463997,0.7992587504397298,0.03059962331390113,4,31,618,88,0.003299525192263966,0.00035378984079451785,0.7978309152750991,COMPLETE
6,0.5705920207933047,2026-07-24 15:06:09.791739,2026-07-24 15:06:33.161246,0 days 00:00:23.369507,0.9844139130510241,0.010038715393159925,10,23,420,16,0.008722623652613656,2.898443817296261e-08,0.8936561622309391,COMPLETE
7,0.3984289899937387,2026-07-24 15:06:33.176292,2026-07-24 15:06:55.830970,0 days 00:00:22.654678,0.8153133987009408,0.04976745494183257,12,39,351,28,0.20892032956379974,1.3820620601092508e-07,0.9469403082931911,COMPLETE
8,0.5845000384044348,2026-07-24 15:06:55.853317,2026-07-24 15:07:42.514233,0 days 00:00:46.660916,0.7635491593853551,0.035036927309826715,7,9,350,74,4.105206779063718e-06,2.7522743221960336e-07,0.7702377853965254,COMPLETE
9,0.4588620792415378,2026-07-24 15:07:42.538918,2026-07-24 15:08:02.433522,0 days 00:00:19.894604,0.9223747605403638,0.03365354264215483,10,23,420,76,0.5229979389007592,0.007431870516159504,0.811220603657147,COMPLETE
10,0.8989062605378786,2026-07-24 15:08:02.449821,2026-07-24 15:08:26.609622,0 days 00:00:24.159801,0.6647078770539301,0.12572211425643706,3,16,241,34,0.00012989203792379878,4.184460419232898,0.6656878112306933,COMPLETE
11,0.3981131292656488,2026-07-24 15:08:26.625698,2026-07-24 15:08:36.601859,0 days 00:00:09.976161,0.7365357114159486,0.06018898974937504,8,40,552,26,3.790720165734351,2.1150675673626784,0.9973466832565643,COMPLETE
12,0.6214690360917788,2026-07-24 15:08:36.622077,2026-07-24 15:09:07.141771,0 days 00:00:30.519694,0.7107432467131674,0.11151660320731134,8,32,584,8,0.00540853932651223,3.0519657313527517,0.9909497942979801,COMPLETE
13,0.44487138770408874,2026-07-24 15:09:07.160075,2026-07-24 15:09:27.111054,0 days 00:00:19.950979,0.73675165679963,0.05876972851708657,8,32,785,39,4.711673382000546,0.17483512027317957,0.6738830489250119,COMPLETE
14,0.703228123093695,2026-07-24 15:09:27.126841,2026-07-24 15:10:05.433803,0 days 00:00:38.306962,0.8713266833366148,0.08177133700197994,6,26,553,23,0.00014252427900979692,0.06484120230305344,0.8984819001159069,COMPLETE
15,0.6817216881680204,2026-07-24 15:10:05.450666,2026-07-24 15:10:26.703567,0 days 00:00:21.252901,0.6571598755866697,0.019200004190935434,3,16,669,50,1.6036586025613972e-08,0.199110293629355,0.725320381358286,COMPLETE
16,0.4061844161373944,2026-07-24 15:10:26.719759,2026-07-24 15:10:42.474749,0 days 00:00:15.754990,0.7701602068020805,0.04820591092874424,8,36,532,41,0.00045144147050392273,0.009316542373134026,0.9915434913421621,COMPLETE
17,0.6384437192085685,2026-07-24 15:10:42.495121,2026-07-24 15:11:02.287083,0 days 00:00:19.791962,0.7088505747027507,0.08707220719338157,5,28,695,58,0.07607312263843778,0.8618785692437245,0.8966072399567779,COMPLETE
18,0.6188926540715995,2026-07-24 15:11:02.306778,2026-07-24 15:11:18.656101,0 days 00:00:16.349323,0.8497533984748638,0.04269417193486326,9,20,491,20,4.706866264333284,0.009842633140529812,0.7088115778236579,COMPLETE
19,0.45256949676558467,2026-07-24 15:11:18.678414,2026-07-24 15:11:39.792518,0 days 00:00:21.114104,0.7698746263524733,0.06552377120030711,6,35,721,28,5.221596769146652e-06,0.044014023085037435,0.9431949808273921,COMPLETE
