number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.7236831058661745,2026-07-24 14:45:22.027547,2026-07-24 14:45:31.390024,0 days 00:00:09.362477,0.8253921622809783,0.08265243911156489,10,40,199,47,4.234192980847336e-08,2.163428944836469e-06,0.8384735546436518,COMPLETE
1,0.5898229588006055,2026-07-24 14:45:31.414153,2026-07-24 14:46:40.955980,0 days 00:01:09.541827,0.9683577347018648,0.06292691795570775,6,7,475,79,7.181791458882546e-07,8.570630698178648e-05,0.7508509597577977,COMPLETE
2,0.9356449966844925,2026-07-24 14:46:40.977399,2026-07-24 14:48:47.655406,0 days 00:02:06.678007,0.9681949312103559,0.010697536177510883,12,13,756,61,1.4402471156698057e-07,0.0003573965362487956,0.8419714717326107,COMPLETE
3,0.5389185464569924,2026-07-24 14:48:47.673280,2026-07-24 14:49:36.525038,0 days 00:00:48.851758,0.817090404198056,0.06120975269047972,5,22,638,49,1.5235948316708952e-05,0.1945465343045347,0.7803346412847707,COMPLETE
4,0.7447785032932372,2026-07-24 14:49:36.548181,2026-07-24 14:50:20.226042,0 days 00:00:43.677861,0.8800898119729154,0.02340380092265066,5,21,650,58,1.6659921932169083e-05,9.854532902719037e-05,0.7735424280805382,COMPLETE
5,0.6534723720210098,2026-07-24 14:50:20.290181,2026-07-24 14:50:49.181292,0 days 00:00:28.891111,0.7992587504397298,0.03059962331390113,4,31,618,88,0.003299525192263966,0.00035378984079451785,0.7978309152750991,COMPLETE
6,0.6389928942597822,2026-07-24 14:50:49.199175,2026-07-24 14:51:42.970317,0 days 00:00:53.771142,0.9844139130510241,0.010038715393159925,10,23,420,16,0.008722623652613656,2.898443817296261e-08,0.8936561622309391,COMPLETE
7,0.5852477184419741,2026-07-24 14:51:42.993905,2026-07-24 14:51:59.868131,0 days 00:00:16.874226,0.8153133987009408,0.04976745494183257,12,39,351,28,0.20892032956379974,1.3820620601092508e-07,0.9469403082931911,COMPLETE
8,0.7381766120665832,2026-07-24 14:51:59.887846,2026-07-24 14:52:29.812415,0 days 00:00:29.924569,0.7635491593853551,0.035036927309826715,7,9,350,74,4.105206779063718e-06,2.7522743221960336e-07,0.7702377853965254,COMPLETE
9,0.5700683348078119,2026-07-24 14:52:29.834016,2026-07-24 14:52:53.389778,0 days 00:00:23.555762,0.9223747605403638,0.03365354264215483,10,23,420,76,0.5229979389007592,0.007431870516159504,0.811220603657147,COMPLETE
10,0.615686874568381,2026-07-24 14:52:53.407622,2026-07-24 14:53:07.127177,0 days 00:00:13.719555,0.6647078770539301,0.12572211425643706,3,16,241,34,0.00012989203792379878,4.184460419232898,0.6656878112306933,COMPLETE
11,0.6430786923216332,2026-07-24 14:53:07.146635,2026-07-24 14:53:24.833220,0 days 00:00:17.686585,0.8990191099069104,0.02534724093064948,8,27,537,62,3.790720165734351,0.15549542757951845,0.693389443225,COMPLETE
12,0.6533434402044542,2026-07-24 14:53:24.851015,2026-07-24 14:54:11.981692,0 days 00:00:47.130677,0.8975811878930267,0.04682085744318034,9,31,748,94,0.00540853932651223,0.048954558012914394,0.9909497942979801,COMPLETE
13,0.9668514543776905,2026-07-24 14:54:12.001618,2026-07-24 14:54:58.358971,0 days 00:00:46.357353,0.7239229202010069,0.01658737843491002,6,20,602,45,0.00021266088182691023,0.016470642653252803,0.7123347706066058,COMPLETE
14,0.5848317105727734,2026-07-24 14:54:58.384529,2026-07-24 14:55:32.138926,0 days 00:00:33.754397,0.8705147041549339,0.09261343257484947,10,26,312,75,0.1972212974383803,1.086008479237768,0.8380198955173079,COMPLETE
15,0.6468051640813601,2026-07-24 14:55:32.157209,2026-07-24 14:55:49.406017,0 days 00:00:17.248808,0.9347829619459237,0.04146408948232837,3,16,496,42,1.464700486610857,0.006077933454793057,0.8924315850051756,COMPLETE
16,0.6466204967627024,2026-07-24 14:55:49.425137,2026-07-24 14:56:30.476632,0 days 00:00:41.051495,0.7222256037116497,0.0651942827248112,8,32,705,14,0.0005659164281003326,0.004419683023444259,0.7284016042807523,COMPLETE
17,0.5490671482900379,2026-07-24 14:56:30.505773,2026-07-24 14:57:49.267477,0 days 00:01:18.761704,0.8453491685910696,0.017465171506217136,5,17,543,54,0.07607312263843778,0.40448596359608435,0.8163187105874712,COMPLETE
18,0.6066357080198019,2026-07-24 14:57:49.284939,2026-07-24 14:58:26.134386,0 days 00:00:36.849447,0.8460535164892428,0.01629029884646555,5,13,565,51,1.1415819258213815e-08,0.5103250313804638,0.8687051927722793,COMPLETE
19,0.4210672810079391,2026-07-24 14:58:26.152669,2026-07-24 14:58:59.104597,0 days 00:00:32.951928,0.77279358578986,0.13721312405986297,5,17,669,29,1.1781698985570914e-05,3.3219082958438766,0.7985814654515895,COMPLETE
