Date,series,value
2018-01-01,100.0,100.0
2018-01-01,100.0,100.0
2018-01-01,100.0,100.0
2018-01-01,100.0,100.0
2018-01-01,100.0,100.0
2018-01-01,100.0,100.0
2018-01-01,100.0,100.0
2018-01-01,100.0,100.0
2015-01-01,100.1,100.1
2019-01-01,100.1,100.1
2019-01-01,100.8,100.8
2024-01-01,100.8,100.8
2019-01-01,100.9,100.9
2016-01-01,101.0,101.0
2016-01-01,101.0,101.0
2017-01-01,101.1,101.1
2017-01-01,101.4,101.4
2019-01-01,101.6,101.6
2022-01-01,101.6,101.6
2022-01-01,101.7,101.7
2017-01-01,102.0,102.0
2016-01-01,102.5,102.5
2019-01-01,103.9,103.9
2017-01-01,104.3,104.3
2021-01-01,104.8,104.8
2016-01-01,105.3,105.3
2023-01-01,105.6,105.6
2024-01-01,106.2,106.2
2017-01-01,107.1,107.1
2017-01-01,107.6,107.6
2015-01-01,109.2,109.2
2020-01-01,110.1,110.1
2022-01-01,113.0,113.0
2023-01-01,121.4,121.4
2024-01-01,132.1,132.1
2015-01-01,79.4,79.4
2024-01-01,84.4,84.4
2024-01-01,84.5,84.5
2023-01-01,88.9,88.9
2020-01-01,89.8,89.8
2020-01-01,91.1,91.1
2024-01-01,91.4,91.4
2015-01-01,91.5,91.5
2024-01-01,91.5,91.5
2020-01-01,91.8,91.8
2020-01-01,91.8,91.8
2023-01-01,92.0,92.0
2015-01-01,92.2,92.2
2021-01-01,92.8,92.8
2022-01-01,93.0,93.0
2021-01-01,93.4,93.4
2020-01-01,93.5,93.5
2022-01-01,93.8,93.8
2023-01-01,94.2,94.2
2017-01-01,94.3,94.3
2015-01-01,94.4,94.4
2020-01-01,94.5,94.5
2022-01-01,95.2,95.2
2023-01-01,95.8,95.8
2023-01-01,95.9,95.9
2015-01-01,96.2,96.2
2019-01-01,97.2,97.2
2021-01-01,97.2,97.2
2016-01-01,97.5,97.5
2021-01-01,97.5,97.5
2021-01-01,97.6,97.6
2021-01-01,97.8,97.8
2024-01-01,97.8,97.8
2016-01-01,98.1,98.1
2022-01-01,98.1,98.1
2021-01-01,98.5,98.5
2019-01-01,98.6,98.6
2016-01-01,99.1,99.1
2023-01-01,99.2,99.2
2016-01-01,99.4,99.4
2019-01-01,99.6,99.6
2022-01-01,99.6,99.6
2017-01-01,99.7,99.7
2020-01-01,99.7,99.7
