Date,Sorghum_Thousand Hectares,Maize_Thousand Hectares,Millet_Thousand Hectares,Pulses_Thousand Hectares,Sunflower_Thousand Hectares,Groundnuts_Thousand Hectares,Sorghum_Thousand Hectares_2,Maize_Thousand Hectares_2,Millet_Thousand Hectares_2,Pulses_Thousand Hectares_2,Sunflower_Thousand Hectares_2,Groundnuts_metric tonnes,Sorghum_KG/HA,Maize_KG/HA,Millet_KG/HA,Pulses_KG/HA,Sunflower_KG/HA,Groundnuts_KG/HA,Sorghum_metric tonnes,Maize_metric tonnes,Millet_metric tonnes,Pulses_metric tonnes,Sunflower_metric tonnes,Groundnuts_metric tonnes_2
1979-01-01,67.0,50.0,13.0,26.0,5.0,4.0,41.0,19.0,8.0,14.0,4.0,2.0,74.0,58.0,77.0,37.0,150.0,50.0,5000.0,3000.0,1000.0,1000.0,900.0,200.0
1979-02-01,67.0,50.0,13.0,26.0,5.0,4.0,41.0,19.0,8.0,14.0,4.0,2.0,74.0,58.0,77.0,37.0,150.0,50.0,5000.0,3000.0,1000.0,1000.0,900.0,200.0
1979-03-01,67.0,50.0,13.0,26.0,5.0,4.0,41.0,19.0,8.0,14.0,4.0,2.0,74.0,58.0,77.0,37.0,150.0,50.0,5000.0,3000.0,1000.0,1000.0,900.0,200.0
1979-04-01,67.0,50.0,13.0,26.0,5.0,4.0,41.0,19.0,8.0,14.0,4.0,2.0,74.0,58.0,77.0,37.0,150.0,50.0,5000.0,3000.0,1000.0,1000.0,900.0,200.0
1979-05-01,67.0,50.0,13.0,26.0,5.0,4.0,41.0,19.0,8.0,14.0,4.0,2.0,74.0,58.0,77.0,37.0,150.0,50.0,5000.0,3000.0,1000.0,1000.0,900.0,200.0
1979-06-01,67.0,50.0,13.0,26.0,5.0,4.0,41.0,19.0,8.0,14.0,4.0,2.0,74.0,58.0,77.0,37.0,150.0,50.0,5000.0,3000.0,1000.0,1000.0,900.0,200.0
1979-07-01,67.0,50.0,13.0,26.0,5.0,4.0,41.0,19.0,8.0,14.0,4.0,2.0,74.0,58.0,77.0,37.0,150.0,50.0,5000.0,3000.0,1000.0,1000.0,900.0,200.0
1979-08-01,67.0,50.0,13.0,26.0,5.0,4.0,41.0,19.0,8.0,14.0,4.0,2.0,74.0,58.0,77.0,37.0,150.0,50.0,5000.0,3000.0,1000.0,1000.0,900.0,200.0
1979-09-01,67.0,50.0,13.0,26.0,5.0,4.0,41.0,19.0,8.0,14.0,4.0,2.0,74.0,58.0,77.0,37.0,150.0,50.0,5000.0,3000.0,1000.0,1000.0,900.0,200.0
1979-10-01,67.0,50.0,13.0,26.0,5.0,4.0,41.0,19.0,8.0,14.0,4.0,2.0,74.0,58.0,77.0,37.0,150.0,50.0,5000.0,3000.0,1000.0,1000.0,900.0,200.0
