Date,PI101001,PI101002,PI101003,PI101004,PI101005,PI101101,PI101102,PI101103,PI101104,PI101105,PI101111,PI101112,PI101113,PI101115,PI101121,PI101122,PI101123,PI101124,PI101125,PI101131,PI101132,PI101133,PI101134,PI101135,PI101141,PI101142,PI101143,PI101144,PI101145,PI101151,PI101152,PI101153,PI101154,PI101155,PI101161,PI101162,PI101163,PI101164,PI101165,PI101171,PI101172,PI101173,PI101174,PI101175,PI101181,PI101182,PI101183,PI101184,PI101185,PI101201,PI101202,PI101203,PI101204,PI101205,PI201001,PI201002,PI201003,PI201004,PI201005,PI201011,PI201013,PI201031,PI201032,PI201033,PI201034,PI201035,PI201051,PI201052,PI201053,PI201054,PI201055,PI201061,PI201062,PI201063,PI201064,PI201065,PI201071,PI201073,PI201081,PI201083,PI201091,PI201092,PI201093,PI201094,PI201095,PI201101,PI201103,PI201111,PI201113,PI201121,PI201122,PI201123,PI201124,PI201125,PI201131,PI201132,PI201133,PI201134,PI201135,PI919001,PI953221,PI101402,PI101404,PI101405,PI101422,PI101432,PI101442,PI101444,PI101445,PI211442,PI211444,PI211445,SEI00003
2000-01-01,99.4,101.1,99.8,93.1,112.8,100.1,101.6,100.2,96.5,114.7,99.5,99.5,99.5,100.0,109.1,113.9,112.8,94.5,117.8,100.0,99.7,100.1,90.8,71.3,84.5,85.9,84.5,0.0,100.0,100.7,105.6,100.7,95.1,121.1,95.5,95.5,95.5,0.0,0.0,101.3,101.3,101.3,0.0,0.0,104.4,103.0,103.1,109.6,0.0,90.1,92.7,92.3,84.2,94.6,98.4,98.3,98.6,96.2,96.4,95.1,95.2,97.3,96.2,97.1,99.4,95.1,96.6,97.6,96.7,93.2,99.2,101.5,103.3,103.6,97.2,101.2,94.2,99.1,100.5,100.8,98.9,99.3,99.3,95.9,99.7,101.0,101.3,97.9,97.8,98.9,98.9,98.9,96.7,100.0,98.1,98.0,98.1,99.7,97.6,86.2,100.0,,,,,,,,,,,,
2000-02-01,101.0,102.2,101.4,95.6,111.0,101.6,102.8,101.7,97.6,112.7,98.7,98.7,98.7,100.0,108.5,113.2,111.7,96.0,118.3,99.2,99.0,99.3,92.3,71.9,93.5,94.0,93.4,0.0,100.0,110.1,111.2,110.4,92.3,114.0,97.5,97.5,97.5,0.0,0.0,101.3,101.3,101.3,0.0,0.0,101.8,99.7,99.7,109.6,0.0,92.8,94.1,93.9,90.1,95.0,98.0,98.1,98.2,95.9,97.5,95.9,96.0,98.1,96.9,97.9,99.4,95.7,99.3,99.4,99.3,98.0,99.5,100.7,101.8,102.0,98.1,101.2,94.2,99.1,97.1,97.3,98.7,99.4,99.4,94.0,99.7,96.8,96.8,98.7,99.3,99.1,99.1,99.1,96.5,100.0,98.3,98.3,98.3,99.4,97.6,82.5,100.0,,,,,,,,,,,,
2000-03-01,100.3,101.4,100.6,96.4,108.9,100.7,101.8,100.8,97.2,110.3,99.7,99.7,99.7,100.0,105.4,108.9,107.6,96.6,113.1,99.5,99.6,99.6,94.2,95.3,96.7,96.9,96.6,0.0,100.0,102.4,104.6,102.5,91.8,111.6,100.2,100.2,100.2,0.0,0.0,93.8,93.8,93.8,0.0,0.0,100.4,99.7,99.7,103.0,0.0,94.9,95.4,95.3,94.1,96.1,98.6,98.6,98.8,96.4,97.8,97.4,97.4,98.5,97.5,98.5,98.3,96.2,99.3,99.1,99.3,97.5,99.1,99.7,101.2,101.3,96.2,100.3,95.7,98.6,96.6,96.7,99.0,99.4,99.4,96.6,99.8,96.4,96.2,98.6,99.1,99.8,99.9,99.9,96.3,100.0,99.5,99.5,99.5,99.2,99.5,94.5,100.0,,,,,,,,,,,,
2000-04-01,102.4,102.9,102.7,98.8,105.0,103.0,103.5,103.2,99.3,105.7,100.9,100.9,100.9,100.0,104.3,105.8,105.6,99.1,106.4,101.0,101.0,101.0,97.5,97.4,117.6,116.0,117.5,0.0,100.0,97.4,99.9,97.5,93.4,107.7,100.2,100.2,100.2,0.0,0.0,93.8,93.8,93.8,0.0,0.0,100.4,99.7,99.7,103.0,0.0,93.9,93.7,92.8,97.0,98.2,100.0,100.0,100.1,99.0,99.0,99.2,99.2,99.8,98.9,99.6,102.5,98.1,99.3,99.0,99.3,98.0,98.6,99.5,99.7,99.8,99.1,99.5,98.9,98.2,100.0,100.2,99.7,99.9,99.9,98.4,99.8,100.3,100.4,98.8,99.5,99.9,99.9,99.9,97.3,100.0,100.7,100.7,100.8,100.0,99.8,97.5,100.0,,,,,,,,,,,,
2000-05-01,101.3,101.3,101.2,101.5,102.2,101.7,101.8,101.7,101.5,102.5,100.4,100.4,100.4,100.0,103.5,103.9,104.0,101.6,103.7,96.8,96.8,96.8,97.5,97.4,125.8,123.5,125.7,0.0,100.0,91.7,94.1,91.5,97.7,102.0,100.2,100.2,100.2,0.0,0.0,94.1,94.1,94.1,0.0,0.0,100.4,99.7,99.7,103.0,0.0,94.5,93.0,91.9,101.6,99.3,99.8,99.9,99.9,99.0,100.0,99.5,99.5,99.9,100.1,99.7,102.5,100.7,99.4,99.1,99.4,98.0,98.6,99.4,99.3,99.4,99.3,99.5,98.5,98.5,100.2,100.3,99.6,99.9,99.9,97.7,99.8,100.3,100.5,99.8,99.5,100.0,99.9,99.9,102.9,100.0,100.1,100.1,100.1,99.5,100.0,100.8,100.0,,,,,,,,,,,,
2000-06-01,100.2,99.8,99.9,103.2,98.7,100.0,99.7,99.8,103.7,98.4,100.5,100.5,100.5,100.0,100.0,98.2,98.8,105.0,96.8,97.5,97.4,97.4,102.6,100.2,112.0,111.0,112.0,0.0,100.0,95.3,96.3,95.2,101.0,99.9,98.9,98.9,98.9,0.0,0.0,97.7,97.7,97.7,0.0,0.0,99.1,99.7,99.7,97.4,0.0,101.4,101.3,101.2,102.0,101.8,100.1,100.1,100.1,99.7,100.5,100.0,100.0,100.7,100.6,100.6,102.5,100.8,100.9,100.0,100.9,98.0,98.6,98.7,98.1,98.1,100.1,99.5,99.1,99.1,101.1,101.2,99.8,99.9,99.9,98.8,99.8,101.4,101.5,99.9,99.5,99.6,99.6,99.6,102.5,100.0,100.1,100.1,100.1,99.3,100.5,99.9,100.0,,,,,,,,,,,,
2000-07-01,98.1,97.8,98.1,99.7,95.0,98.0,97.7,97.9,99.6,94.6,99.5,99.5,99.5,100.0,93.5,91.5,91.9,99.7,90.1,98.5,98.6,98.5,104.2,110.2,110.1,109.2,110.0,0.0,100.0,88.7,90.5,88.5,102.8,97.1,99.4,99.4,99.4,0.0,0.0,97.7,97.7,97.7,0.0,0.0,99.1,99.7,99.7,97.4,0.0,99.9,100.0,99.9,99.6,100.2,100.1,100.1,100.1,100.1,100.3,100.1,100.1,100.6,100.7,100.6,99.0,100.9,100.9,100.0,100.9,103.8,98.6,99.7,99.2,99.2,100.5,99.5,100.3,99.6,100.2,100.2,99.8,99.9,99.9,98.8,99.8,100.2,100.3,100.1,99.8,99.6,99.6,99.6,100.8,100.0,100.1,100.1,100.1,100.2,100.5,101.9,100.0,,,,,,,,,,,,
2000-08-01,97.9,97.1,97.8,99.1,90.7,97.8,97.0,97.7,98.1,89.4,99.2,99.2,99.2,100.0,88.9,86.3,86.8,97.8,84.8,99.1,99.2,99.1,104.2,111.8,109.7,108.8,109.6,0.0,100.0,94.5,93.1,94.2,104.9,89.4,99.4,99.4,99.4,0.0,0.0,97.5,97.5,97.5,0.0,0.0,99.0,99.7,99.7,96.5,0.0,99.9,99.7,99.1,102.1,102.8,100.1,100.3,100.2,99.9,100.8,101.1,101.1,100.6,101.0,100.6,99.0,101.5,100.9,99.9,100.9,103.8,98.5,99.8,99.4,99.4,100.3,99.5,99.9,99.8,99.8,99.8,99.8,100.0,100.0,98.3,99.8,99.8,99.7,100.5,99.9,100.3,100.2,100.2,100.8,100.0,100.2,100.3,100.3,100.6,100.6,105.6,100.0,,,,,,,,,,,,
2000-09-01,98.5,97.7,98.4,100.5,91.2,98.0,97.3,97.9,99.0,90.1,97.6,97.6,97.6,100.0,91.7,88.7,89.9,99.0,85.2,98.9,99.1,98.8,104.2,111.3,107.1,106.4,107.0,0.0,100.0,96.1,94.7,95.9,104.9,91.0,99.4,99.4,99.4,0.0,0.0,101.2,101.2,101.2,0.0,0.0,99.0,99.7,99.7,96.6,0.0,106.0,106.1,106.8,104.2,102.5,100.4,100.4,100.4,101.0,101.1,101.5,101.4,100.8,101.6,101.0,99.0,102.5,100.9,99.9,100.9,103.8,98.5,98.6,98.3,98.2,99.5,99.4,101.1,100.8,99.8,99.8,100.4,100.0,100.0,103.5,99.8,99.7,99.6,100.9,100.9,100.3,100.2,100.3,101.6,100.0,100.5,100.6,100.6,99.9,100.6,108.2,100.0,,,,,,,,,,,,
2000-10-01,97.9,96.9,97.5,103.2,92.2,97.3,96.4,96.9,102.4,91.1,98.0,98.0,98.0,100.0,96.1,92.8,94.2,103.4,88.4,98.2,98.4,98.1,104.2,111.6,87.3,88.4,87.3,0.0,100.0,103.3,99.8,103.2,104.9,88.9,101.8,101.8,101.8,0.0,0.0,101.2,101.2,101.2,0.0,0.0,98.8,99.7,99.7,95.8,0.0,106.5,106.6,107.2,104.9,103.3,100.8,100.7,100.6,102.4,101.4,102.7,102.7,101.3,102.0,101.4,100.1,102.8,100.9,99.9,100.9,98.5,98.5,100.0,99.6,99.7,100.8,99.4,104.1,101.8,99.5,99.3,100.8,100.5,100.4,103.7,100.8,99.3,99.0,100.9,101.1,100.3,100.2,100.3,101.6,100.0,100.6,100.7,100.7,100.8,100.8,107.0,100.0,,,,,,,,,,,,
2000-11-01,99.7,99.1,99.4,103.9,96.3,99.0,98.6,98.8,102.3,95.7,101.6,101.6,101.6,100.0,98.4,97.3,97.1,103.4,98.0,104.1,104.2,104.1,104.2,110.6,73.0,75.4,73.0,0.0,100.0,106.2,101.7,106.1,105.6,88.0,103.5,103.5,103.5,0.0,0.0,104.3,104.3,104.3,0.0,0.0,98.4,99.7,99.7,94.3,0.0,108.7,108.0,108.9,108.4,103.3,101.5,101.4,101.3,103.9,102.1,103.7,103.7,101.3,102.2,101.5,99.3,103.2,100.9,102.2,100.9,103.9,104.4,100.2,99.8,99.9,100.9,99.4,106.8,102.5,101.5,101.3,101.6,101.0,101.0,106.1,100.8,101.5,101.3,101.6,101.6,100.3,100.2,100.3,101.6,100.0,100.7,100.7,100.7,101.3,100.9,107.4,100.0,,,,,,,,,,,,
2000-12-01,103.6,102.7,103.5,105.3,95.9,103.1,102.4,103.1,103.0,95.3,104.8,104.8,104.8,100.0,100.7,99.1,99.8,104.3,97.1,107.1,107.2,107.1,104.2,110.8,83.0,84.6,83.0,0.0,100.0,113.9,107.8,114.0,105.6,88.3,103.5,103.5,103.5,0.0,0.0,116.0,116.0,116.0,0.0,0.0,98.7,100.0,100.0,94.2,0.0,111.0,109.6,110.9,111.5,102.5,102.1,101.8,101.7,106.3,102.4,103.8,103.7,101.3,102.0,101.4,99.2,102.7,100.9,103.4,100.9,103.2,107.5,102.3,99.9,99.8,107.5,101.2,107.4,103.3,103.4,103.3,101.8,101.0,101.0,108.3,100.8,103.6,103.4,102.6,102.3,102.1,102.1,102.2,101.6,100.5,100.8,100.9,100.8,100.4,101.3,108.1,100.0,,,,,,,,,,,,
2001-01-01,104.9,104.0,104.4,111.0,99.9,103.4,102.8,103.2,107.9,99.4,104.4,104.4,104.4,100.0,109.0,107.6,108.6,110.5,104.6,105.6,105.7,105.6,104.2,111.2,78.4,80.3,78.4,0.0,100.0,108.1,103.5,108.0,105.5,89.1,106.0,106.0,106.0,0.0,0.0,127.2,127.2,127.2,0.0,0.0,98.7,100.0,100.0,94.2,0.0,124.4,123.0,126.4,119.2,105.0,102.4,102.0,101.8,108.9,103.5,105.4,105.4,101.4,102.8,101.5,99.4,104.6,100.9,103.2,100.9,104.7,106.9,102.3,99.8,99.7,107.7,101.2,111.4,105.1,101.3,100.9,102.5,101.1,101.1,113.6,100.7,101.0,100.5,103.5,102.5,102.3,102.3,102.3,102.4,100.5,101.5,101.5,101.5,102.0,101.5,111.3,100.0,,,,,,,,,,,,
