selected_rank,feature,rank,importance
1,food_index_std12,1,0.015291959231653112
2,BDI_High_median_std12,2,0.015202926290576565
3,BDI_Close_variance_std12,3,0.014688748469800806
4,BDI_High_std_std12,4,0.013786249280130345
5,BDI_Low_median_std12,5,0.012254937496905809
6,BDI_High_variance_std12,6,0.012148373357817975
7,PI201135_std12,7,0.011822470305031151
8,BDI_Low_variance_std12,8,0.011507537779487145
9,BDI_Close_last_std12,9,0.011252357888396758
10,BDI_Low_std_std12,10,0.011213340913058463
11,BDI_High_range_std12,11,0.010378216699365174
12,PI101125_roll6,12,0.010202940813219192
13,BDI_High_variance_roll12,13,0.010162984287737181
14,BDI_Low_std_roll12,14,0.009414944055244595
15,PI101125_lag6,15,0.009150415477380148
16,PI101152_roll12,16,0.008432823796781662
17,BDI_High_min_std12,17,0.008350769452230728
18,BDI_Low_variance_roll12,18,0.008292404584900315
19,PI101105_roll3,19,0.008160419615957202
20,BDI_Low_range_std12,20,0.00814574943766472
21,BDI_Close_range_std12,21,0.007581097999716195
22,PI101402_roll12,22,0.007392419865594393
23,PI101402_roll6,23,0.007200091375611224
24,BDI_Close_variance_roll12,24,0.006874334462526137
25,PI101405,25,0.006589357946511114
26,PI101402*x*general_index,26,0.006510059232089135
27,PI101124_lag6,27,0.0064449292949211555
28,PI101125_roll12,28,0.006397812711979109
29,BDI_High_mean_std12,29,0.006160360147207739
30,BDI_Close_min_std12,30,0.005810861914231855
31,PI101105_roll6,31,0.005750078232254407
32,BDI_High_range_roll12,32,0.005639488373527019
33,BDI_Close_first_std12,33,0.005573752525886752
34,PI101402_lag1,34,0.00550355724583399
35,PI101125_lag3,35,0.005498961114735694
36,PI101125_lag1,36,0.005297734996825526
37,PI101432_std12,37,0.005234835404688656
38,BDI_Close_median_std12,38,0.005177475437353055
39,BDI_Low_mean_std12,39,0.005064283387288789
40,PI101105_lag2,40,0.005023465453739354
41,BDI_Close_std_std12,41,0.00489888536382447
42,BDI_Close_std_roll12,42,0.00483705835341192
43,PI211442,43,0.0048360071555993926
44,BDI_High_std_roll12,44,0.0047090951524924275
45,PI101432_lag6,45,0.004699430762176098
46,BDI_High_min_lag12,46,0.004537828915582018
47,BDI_Close_first_roll12,47,0.004441464234575388
48,PI201053_roll3,48,0.00441329699644814
49,PI101402_lag3,49,0.004372975317202555
50,PI101432_roll12,50,0.004335422413341309
51,PI101405*x*general_index,51,0.004247700984794832
52,food_index_std6,52,0.004224684975419769
53,PI101432_roll6,53,0.0041285369595822005
54,PI101124_roll12,54,0.004127384929406176
55,PI101404*x*general_index,55,0.004113273045745607
56,PI101102_std12,56,0.004101965505152346
57,BDI_Close_max_std12,57,0.003909923625579491
58,BDI_Low_median_roll12,58,0.003899532036099739
59,PI101432_lag12,59,0.003839096439255052
60,BDI_Close_mean_std12,60,0.003810950859000899
61,PI101402,61,0.003726576069764011
62,PI211444*x*general_index,62,0.0037228555352907325
63,PI211442*x*general_index,63,0.0037224872343685
64,PI201051,64,0.0037222875939904652
65,PI101161,65,0.0037111357575325796
66,PI201093*x*general_index,66,0.0037048883089034527
67,PI101105_lag1,67,0.0036016837513646043
68,PI101402_roll3,68,0.0035939819001088425
69,BDI_High_median_roll12,69,0.003497162752045278
70,PI101105_lag3,70,0.0034139985205008305
71,BDI_Close_median_roll12,71,0.0034136628997973196
72,EUR_median_lag12,72,0.003341946043808462
73,PI101141*x*general_index,73,0.00332148596082586
74,PI101125,74,0.0033089536163702755
75,PI101132_std12,75,0.0032542524261052227
76,PI201071*x*general_index,76,0.0032335515657714027
77,PI101125_roll3,77,0.00320019173383264
78,PI101405_roll3,78,0.0031527928433543666
79,PI201053,79,0.003137410968842715
80,PI101402_lag2,80,0.003102467680808202
81,PI201051_lag2,81,0.00309309060350929
82,PI101005_roll3,82,0.00308080504352339
83,PI101142_std6,83,0.003025277792832917
84,PI101142_std12,84,0.0029535421926846655
85,PI101104_roll12,85,0.002907421584976092
86,PI101402_lag6,86,0.0028013535028716943
87,USD_std_std12,87,0.0027826369839213934
88,PI211444,88,0.0027670022377937194
89,BDI_Close_range_roll12,89,0.0027526185994839825
90,PI101005_roll6,90,0.002724181517944492
91,PI101402_lag12,91,0.002709608317550496
92,PI101101_lag2,92,0.002570217770848701
93,USD_range_roll12,93,0.0025654292490352444
94,PI201003,94,0.002556123517564575
95,PI201091*x*general_index,95,0.0024945825011437185
96,PI101405_lag3,96,0.0024114007480475212
97,BDI_High_range_roll6,97,0.0023949859940732734
98,BDI_High_variance_roll6,98,0.002359834854947178
99,PI201053_lag1,99,0.0023545230611595916
100,USD_mean_lag12,100,0.00224929267109477
