rank,feature,importance
1,PI201135_std12,0.601195335158849
2,food_index_std12,0.3096141105315162
3,USD_std_std12,0.05068795604153464
4,USD_mean_std3,0.012043800961543855
5,USD_pct_change_roll12,0.008500994783691995
6,Global_Dairy_Index_std12,0.006205479515893862
7,PI101204_std6,0.004376893161390413
8,YEN_pct_change_std12,0.004053350107189661
9,PI101102_std6,0.0018386327992653266
10,PI201111_lag12,0.0008307302859100346
11,PI201113_lag12,0.0006527166532150182
12,USD_range_std3,0.0
13,GBP_range,0.0
14,PI201032_trend,0.0
15,USD_pct_change_roll3,0.0
16,PI101002_std6,0.0
17,ZAR_std_lag3,0.0
18,PI101155_std6,0.0
19,Global_Food_Price_Index*x*GBP_std,0.0
20,SDR_pct_change_roll6,0.0
21,general_index_std6,0.0
22,PI101204_std3,0.0
23,PI101201_roll3,0.0
24,BDI_Low_pct_change_std3,0.0
25,GBP_median_std3,0.0
