stagec_feature_selection_rank,model,feature_subset,n_features,mae,mae_std,rmse,rmse_std,r2,r2_std,training_time_seconds,ranking_method,requested_top_n
1,LightGBMRegressor,RandomForestImportance_top_100,100,2.7377428084422197,1.3900092579198269,3.3555478944676316,1.8543924382007124,-0.23157817394247995,0.4292171202000529,0.5578964090000227,RandomForestImportance,100
2,LightGBMRegressor,RandomForestImportance_top_200,200,2.965140522188708,1.6738672582064715,3.5423801084166717,2.0977306956697155,-0.5351599389625721,1.1073036020827756,1.7450681110003643,RandomForestImportance,200
3,LightGBMRegressor,RandomForestImportance_top_50,50,2.8850300213522653,1.23223370698635,3.5546334746156125,1.7147176467692684,-0.4628144056967171,0.5056007595672766,0.34940871599792445,RandomForestImportance,50
4,LightGBMRegressor,LightGBMImportance_top_25,25,2.841380302928582,1.3978822418310772,3.5610166386473003,1.866734786961596,-0.635596024741597,1.262846899204334,0.272449323996625,LightGBMImportance,25
5,LightGBMRegressor,LightGBMImportance_top_100,100,3.0059930304866183,1.539462615165624,3.717166239100622,1.9080072616589734,-0.8235741518486839,1.473772969223535,0.6457974760014622,LightGBMImportance,100
6,LightGBMRegressor,LightGBMImportance_top_50,50,2.9925958942950928,1.3809470841165739,3.7394635034054415,1.8407750292077227,-0.6958593846788721,0.9565926672783138,0.4159176760022092,LightGBMImportance,50
7,LightGBMRegressor,RandomForestImportance_top_25,25,3.0666860715123283,1.2367211514083494,3.7524552978827925,1.693241952427536,-0.8262901546891616,1.225917140759498,0.2857454829991184,RandomForestImportance,25
8,RandomForestRegressor,LightGBMImportance_top_25,25,3.2726934834134376,1.2472963621580755,3.9577322154481225,1.6436065695531754,-1.037237933923705,0.907249678844917,2.642383892003636,LightGBMImportance,25
9,LightGBMRegressor,LightGBMImportance_top_200,200,3.3876065351646396,1.9889332366184618,4.112242219336976,2.2090161049640344,-1.720977267217112,3.1809169383987057,1.1206135019983776,LightGBMImportance,200
10,RandomForestRegressor,RandomForestImportance_top_25,25,3.5332628144984968,1.5267592551956404,4.17275296514168,1.9193757097231077,-1.3400228680123265,1.2806995971039759,3.598201491000509,RandomForestImportance,25
11,RandomForestRegressor,RandomForestImportance_top_100,100,3.4110056500049226,1.8439982472464895,4.207475357581777,2.377699984057451,-1.1293023975469136,1.0429608523845781,2.6963432080028724,RandomForestImportance,100
12,RandomForestRegressor,RandomForestImportance_top_50,50,3.5655153640697876,1.5797539342845988,4.317186749496679,1.9910560199357104,-1.4402900554560403,1.2827660883471326,2.641057220998846,RandomForestImportance,50
13,RandomForestRegressor,LightGBMImportance_top_50,50,3.658555169012802,1.5610583530418494,4.321696932010768,1.8828255815875772,-1.716582144093774,2.0257072522625275,3.6986509569978807,LightGBMImportance,50
14,RandomForestRegressor,LightGBMImportance_top_100,100,3.883294797197079,1.6711248337229714,4.554800213748619,1.967369374968342,-2.00761724802651,2.1905277794514713,2.7680524019997392,LightGBMImportance,100
15,RandomForestRegressor,RandomForestImportance_top_200,200,3.886817451556753,1.8844168056903154,4.579302453821496,2.3653564614103724,-1.7963020528674576,1.9325303982695772,3.733315544999641,RandomForestImportance,200
16,LightGBMRegressor,LightGBMImportance_top_500,500,3.987390333771331,2.700985593860103,4.603601476407208,2.860982330918117,-3.164280239822401,5.991513459419117,2.818541191996701,LightGBMImportance,500
17,LightGBMRegressor,RandomForestImportance_top_500,500,4.263736630588552,3.0777359416623233,4.828778916070319,3.194824113261259,-3.9782809791754126,7.6048706792721825,2.3958463219987607,RandomForestImportance,500
18,RandomForestRegressor,LightGBMImportance_top_200,200,4.29876474984985,2.158571367074902,4.984427614533488,2.3256083305957183,-3.062141429887663,4.2274223861165225,2.933184503997836,LightGBMImportance,200
19,RandomForestRegressor,RandomForestImportance_top_500,500,4.45466970539657,2.5471242571213324,5.029232143649538,2.746436361515409,-3.533800756178704,5.632964065764366,3.0931426389979606,RandomForestImportance,500
20,RandomForestRegressor,LightGBMImportance_top_500,500,4.327918572537878,2.3694564992223053,5.0389038218652455,2.5178882901655264,-3.259562067428093,4.778059384113411,4.456411148003099,LightGBMImportance,500
