model,ranking_method,feature_subset,selected_rank,feature
RandomForestRegressor,LightGBMImportance,LightGBMImportance_top_25,1,food_index_std12
RandomForestRegressor,LightGBMImportance,LightGBMImportance_top_25,2,USD_range_std3
RandomForestRegressor,LightGBMImportance,LightGBMImportance_top_25,3,GBP_range
RandomForestRegressor,LightGBMImportance,LightGBMImportance_top_25,4,PI201032_trend
RandomForestRegressor,LightGBMImportance,LightGBMImportance_top_25,5,USD_pct_change_roll3
RandomForestRegressor,LightGBMImportance,LightGBMImportance_top_25,6,PI101204_std6
RandomForestRegressor,LightGBMImportance,LightGBMImportance_top_25,7,PI101002_std6
RandomForestRegressor,LightGBMImportance,LightGBMImportance_top_25,8,PI201113_lag12
RandomForestRegressor,LightGBMImportance,LightGBMImportance_top_25,9,USD_std_std12
RandomForestRegressor,LightGBMImportance,LightGBMImportance_top_25,10,USD_pct_change_roll12
RandomForestRegressor,LightGBMImportance,LightGBMImportance_top_25,11,ZAR_std_lag3
RandomForestRegressor,LightGBMImportance,LightGBMImportance_top_25,12,USD_mean_std3
RandomForestRegressor,LightGBMImportance,LightGBMImportance_top_25,13,PI101155_std6
RandomForestRegressor,LightGBMImportance,LightGBMImportance_top_25,14,Global_Food_Price_Index*x*GBP_std
RandomForestRegressor,LightGBMImportance,LightGBMImportance_top_25,15,SDR_pct_change_roll6
RandomForestRegressor,LightGBMImportance,LightGBMImportance_top_25,16,general_index_std6
RandomForestRegressor,LightGBMImportance,LightGBMImportance_top_25,17,Global_Dairy_Index_std12
RandomForestRegressor,LightGBMImportance,LightGBMImportance_top_25,18,PI101204_std3
RandomForestRegressor,LightGBMImportance,LightGBMImportance_top_25,19,PI101102_std6
RandomForestRegressor,LightGBMImportance,LightGBMImportance_top_25,20,PI101201_roll3
RandomForestRegressor,LightGBMImportance,LightGBMImportance_top_25,21,PI201135_std12
RandomForestRegressor,LightGBMImportance,LightGBMImportance_top_25,22,PI201111_lag12
RandomForestRegressor,LightGBMImportance,LightGBMImportance_top_25,23,BDI_Low_pct_change_std3
RandomForestRegressor,LightGBMImportance,LightGBMImportance_top_25,24,GBP_median_std3
RandomForestRegressor,LightGBMImportance,LightGBMImportance_top_25,25,YEN_pct_change_std12
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,1,food_index_std12
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,2,BDI_High_median_std12
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,3,BDI_Close_variance_std12
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,4,BDI_High_std_std12
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,5,BDI_Low_median_std12
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,6,BDI_High_variance_std12
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,7,PI201135_std12
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,8,BDI_Low_variance_std12
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,9,BDI_Close_last_std12
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,10,BDI_Low_std_std12
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,11,BDI_High_range_std12
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,12,PI101125_roll6
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,13,BDI_High_variance_roll12
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,14,BDI_Low_std_roll12
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,15,PI101125_lag6
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,16,PI101152_roll12
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,17,BDI_High_min_std12
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,18,BDI_Low_variance_roll12
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,19,PI101105_roll3
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,20,BDI_Low_range_std12
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,21,BDI_Close_range_std12
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,22,PI101402_roll12
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,23,PI101402_roll6
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,24,BDI_Close_variance_roll12
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,25,PI101405
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,26,PI101402*x*general_index
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,27,PI101124_lag6
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,28,PI101125_roll12
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,29,BDI_High_mean_std12
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,30,BDI_Close_min_std12
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,31,PI101105_roll6
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,32,BDI_High_range_roll12
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,33,BDI_Close_first_std12
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,34,PI101402_lag1
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,35,PI101125_lag3
LightGBMRegressor,RandomForestImportance,RandomForestImportance_top_100,36,PI101125_lag1
